Program_Name;Module_Name
CFNIC;Lending
CFNOC;Lending
CFNOC;Lending
CFRSM;Lending
CGUAS;Lending
CGUAS;Lending
CGUAS;Lending
CGUCM;Lending
CGURM;Lending
CINIC;Lending
CINIC;Lending
CINOC;Lending
CINOC;Lending
CMHIA;Lending
CMHIA;Lending
CMHIF;Lending
CMHIF;Lending
CMHIF;Lending
CMRGM;Lending
CMTIF;Lending
CMTIF;Lending
CMTLM;Lending
CPAYC;Lending
CPAYC;Lending
CPTDC;Lending
CRCYM;Lending
CRCYM;Lending
CRECC;Lending
CRECC;Lending
CREPM;Lending
CREPM;Lending
CRMIC;Lending
CRMIC;Lending
CRMOC;Lending
CRMOC;Lending
CROCM;Lending
CSCOM;Lending
CSCYM;Lending
CSCYM;Lending
CSCYM;UNUSED
CSECF;UNUSED
CSECF;Lending
CSECF;Lending
CSECS;Lending
CSECS;UNUSED
CSECS;Lending
CSHTC;UNUSED
CUCOMATRDO;UNUSED
CUDELCM;Lending
CUDLYRTR;Lending
CUFLOATRTE;Lending
CUPDPFAC;Lending
CUTRFWAREP;Lending
CUTRFWAREP;Lending
ISIMC;Lending
ISIMS;Lending
IUDELISIMO;Lending
IULOADLC;Lending
CI-LOG-CCMHO;Lending
CI-LOG-CMTLO;Lending
CI-LOG-CPTIO;Lending
CP-004DELFACILITY;Lending
CP-004DELFACILITY;UNUSED
CP-004DELFACILITY;Lending
CP-004DELFACILITY;Lending
CP-004DELFACILITY;Lending
CP-004DELFACILITY;Lending
CP-004DELFACILITY;Lending
CP-004DELFACILITY;Lending
CP-005DELSECURITY;Lending
CP-005DELSECURITY;UNUSED
CP-005DELSECURITY;Lending
GI-101-UPD-CSHTL;UNUSED
AINIF;TECHNICAL_KERNEL
AINIF;Account_Management
ICNFS;MDM_Management
LBSKM;UNUSED
LUMQGRID;MDM_Management
LUMQGRID;MDM_Management
DCNDS;Payment_And_Cash_Management
DCNIF;Payment_And_Cash_Management
DCNTM;Payment_And_Cash_Management
DCTIF;Payment_And_Cash_Management
DDDCM;Payment_And_Cash_Management
DDI2M;Payment_And_Cash_Management
DDICM;Payment_And_Cash_Management
DFSCF;Payment_And_Cash_Management
DFSIF;Payment_And_Cash_Management
DIDDF;Payment_And_Cash_Management
DIIEF;Payment_And_Cash_Management
DIIGC;Payment_And_Cash_Management
DIIGC;Payment_And_Cash_Management
DIIGF;Payment_And_Cash_Management
DIIIF;Payment_And_Cash_Management
DIINC;Payment_And_Cash_Management
DIINF;Payment_And_Cash_Management
DIIUC;Payment_And_Cash_Management
DIIUF;Payment_And_Cash_Management
DIO2C;Payment_And_Cash_Management
DIOD2;Payment_And_Cash_Management
DIOEF;Payment_And_Cash_Management
DIOGC;Payment_And_Cash_Management
DIOGF;Payment_And_Cash_Management
DIOIF;Payment_And_Cash_Management
DIONC;Payment_And_Cash_Management
DIONF;Payment_And_Cash_Management
DIORC;Payment_And_Cash_Management
DIOTF;Payment_And_Cash_Management
DIOUC;Payment_And_Cash_Management
DIOUF;Payment_And_Cash_Management
DIPT5;Payment_And_Cash_Management
DLCLNCOND;Payment_And_Cash_Management
DLDLLCLEIT;Payment_And_Cash_Management
DPBDC;Payment_And_Cash_Management
DRDIM;Payment_And_Cash_Management
DRTPM;TECHNICAL_KERNEL
DSTIF;Payment_And_Cash_Management
DUAUTHBAT;Payment_And_Cash_Management
DUDLCCLMVT;Payment_And_Cash_Management
DUFISET;Payment_And_Cash_Management
DUFLBAT;Payment_And_Cash_Management
DUHISDINST;Payment_And_Cash_Management
DUHISPMT;Payment_And_Cash_Management
DUINVXBR;Payment_And_Cash_Management
DUINVXBRR2;Payment_And_Cash_Management
DUINVXBRRT;Payment_And_Cash_Management
DUINVXBRRU;Payment_And_Cash_Management
DULDAEB19;Payment_And_Cash_Management
DULDCLEAGE;Payment_And_Cash_Management
DULDCLEAGE;Payment_And_Cash_Management
DULDDDCRGB;Payment_And_Cash_Management
DUPDCONDS;Payment_And_Cash_Management
DUPDCONDS;MDM_Management
DUPDCONDS;MDM_Management
DUPDCONDS;MDM_Management
DUPMTVAL;Payment_And_Cash_Management
DUREVERSAL;Payment_And_Cash_Management
DUS101ING;Payment_And_Cash_Management
DUSTOXBR;Payment_And_Cash_Management
DUXBRTRPTS;Payment_And_Cash_Management
DUXBRTRPTS;Payment_And_Cash_Management
IAUTM;Payment_And_Cash_Management
ICNDM;Payment_And_Cash_Management
ICOSP;Payment_And_Cash_Management
ISTPM;Payment_And_Cash_Management
ITOLM;UNUSED
M101C;Payment_And_Cash_Management
M101F;Payment_And_Cash_Management
M102C;Payment_And_Cash_Management
MIC1F;Payment_And_Cash_Management
MIC2C;Payment_And_Cash_Management
MICCC;Payment_And_Cash_Management
MICCF;Payment_And_Cash_Management
MICHA;Payment_And_Cash_Management
MICOD;Payment_And_Cash_Management
MIDDC;Payment_And_Cash_Management
MIEXC;Payment_And_Cash_Management
MII1C;Payment_And_Cash_Management
MII2C;Payment_And_Cash_Management
MII3C;Payment_And_Cash_Management
MII3F;Payment_And_Cash_Management
MII4C;Payment_And_Cash_Management
MIO1C;Payment_And_Cash_Management
MIO2C;Payment_And_Cash_Management
MIO3C;Payment_And_Cash_Management
MIO3F;Payment_And_Cash_Management
MIO4C;Payment_And_Cash_Management
MIORC;Payment_And_Cash_Management
MIXXC;Payment_And_Cash_Management
MOC1F;Payment_And_Cash_Management
MOC2C;Payment_And_Cash_Management
GP-068AEPMTINTLOG;Payment_And_Cash_Management
GP-149-CHK-ACC;Payment_And_Cash_Management
GP-152-CHGMNTLOG;Payment_And_Cash_Management
AACDM;TECHNICAL_KERNEL
AASPS;MDM_Management
AASPS;Finance
AEDIC;TECHNICAL_KERNEL
AEXRS;TECHNICAL_KERNEL
AINTS;TECHNICAL_KERNEL
APPNM;TECHNICAL_KERNEL
ATADM;Account_Management
ATDCS;MDM_Management
AUCTPSHN;Account_Management
AUCTPSHN;Account_Management
AUCTPSHN;Account_Management
AUCTPSHN2;Financial_Markets
AUCTPSHN2;Financial_Markets
AUCTPSHN2;Account_Management
AUCTPSHN2;Financial_Markets
AUNEWEMU;MDM_Management
CULDCRYRIS;MDM_Management
DRTP1;TECHNICAL_KERNEL
GIDPM;TECHNICAL_KERNEL
GMONI;TECHNICAL_KERNEL
GPAPF;TECHNICAL_KERNEL
GPAPM;TECHNICAL_KERNEL
GPARX;TECHNICAL_KERNEL
GSRIF;TECHNICAL_KERNEL
ICNPC;Payment_And_Cash_Management
ICNPC;Financial_Markets
ICNPC;Payment_And_Cash_Management
ICNPC;Financial_Markets
ICNPC;Financial_Markets
ICNSC;Payment_And_Cash_Management
ICNSC;Payment_And_Cash_Management
ICNSC;Financial_Markets
ICNSC;Financial_Markets
ICNSC;Financial_Markets
LBGRS;TECHNICAL_KERNEL
LBRAS;TECHNICAL_KERNEL
LCCCM;MDM_Management
LCCYS;MDM_Management
LCGRS;MDM_Management
LCIYS;MDM_Management
LCLIS;MDM_Management
LCRYS;MDM_Management
LCSTM;MDM_Management
LHOLM;MDM_Management
LPRCM;TECHNICAL_KERNEL
LPRDS;MDM_Management
LRESS;MDM_Management
LSUTC;MDM_Management
LUUPDACCOF;Account_Management
LUUPDACCOF;Lending
LUUPDACCOF;Lending
LUUPDACCOF;Financial_Markets
LUUPDACCOF;Lending
PRSIF;TECHNICAL_KERNEL
PRSNL;TECHNICAL_KERNEL
RPSIF;TECHNICAL_KERNEL
SCSIF;TECHNICAL_KERNEL
CSSHM;UNUSED
