LBB_MODULE
Accounting_Rule_Engine
Arrangement_Management
Business_Lending_Engine
Cash_Management_Engine
Clearing_and_Settlement_Engine
Collateral_management
Consumer_Loans_Engine
Corporate_and_FI_Lending_Engine
Current_Account_Engine
Customer_Billing
Customer_Reporting
Financial_Markets_Trade_engine
General_Ledger
Instruction_and_Order_Management
Local_GAAP_Reporting_Layer
Local_Regulatory_Reporting_Layer
Local_Reporting_Layer
Local_Tax_Reporting_Layer
Mortgages_Engine
Party_Management
Payments_Execution_Engine
Product_Management
Reconciliation_Engine
Reference_Data_Manager
Savings_Engine
Securities_Market_Order_Mngt
TECHNICAL_KERNEL
Trade_Finance_Engine
