Program_Name;IFS_7P_Module;IFS_4P_Module;ProgramType
CCPOA;Lending;Lending;I
CCRE1;Lending;Lending;I
CCRE5;Lending;Lending;I
CCREO;Lending;Lending;I
CCRXO;UNUSED;Core_Banking;I
CCTPC;TECHNICAL_KERNEL;Core_Banking;I
CCUSC;Financial_Markets;Financial_Markets;I
CCUSO;Financial_Markets;Financial_Markets;I
CDFAO;Lending;Lending;I
CDIAL;Lending;Lending;I
CDIAO;Lending;Lending;I
CEXP5;Lending;Lending;I
CEXPS;Lending;Lending;I
CEXRM;MDM_Management;Core_Banking;I
CEXRO;MDM_Management;Core_Banking;I
CEXSM;Lending;Lending;I
CEXSO;Lending;Lending;I
CFA1M;Lending;Lending;I
CFA2C;Lending;Lending;I
CFA2M;Lending;Lending;I
CFAC1;Lending;Lending;I
CFAC2;Lending;Lending;I
CFAC5;Lending;Lending;I
CFAC6;Lending;Lending;I
CFACC;Lending;Lending;I
CFACL;Lending;Lending;I
CFACO;Lending;Lending;I
CFACS;Lending;Lending;I
CFAI5;Lending;Lending;I
CFAIA;Lending;Lending;I
CFAIO;Lending;Lending;I
CFARM;Lending;Lending;I
CFAT1;Lending;Lending;I
CFAT5;Lending;Lending;I
CFATO;UNUSED;Core_Banking;I
CFCRO;Lending;Lending;I
CFDD5;Lending;Lending;I
CFDDC;Lending;Lending;I
CFDDL;Lending;Lending;I
CFDDO;Lending;Lending;I
CFFEM;Lending;Lending;I
CFFEO;Lending;Lending;I
CFIIA;Lending;Lending;I
CFIIC;Lending;Lending;I
CFINA;Lending;Lending;I
CFNI1;Lending;Lending;I
CFNIA;Lending;Lending;I
CFNIC;Lending;Lending;I
CFNO1;Lending;Lending;I
CFNOA;Lending;Lending;I
CFNOC;Lending;Lending;I
CFOIA;Lending;Lending;I
CFOIC;Lending;Lending;I
CFRS1;Lending;Lending;I
CFRSL;Lending;Lending;I
CFRSM;Lending;Lending;I
CFRSO;Lending;Lending;I
CFUPM;Lending;Lending;I
CFUPO;Lending;Lending;I
CFUS5;Lending;Lending;I
CFUSM;Lending;Lending;I
CFUSO;Lending;Lending;I
CFXRM;Lending;Lending;I
CFXRO;Lending;Lending;I
CGAT1;Lending;Lending;I
CGAT5;Lending;Lending;I
CGATO;Lending;Lending;I
CGUA2;Lending;Lending;I
CGUA5;Lending;Lending;I
CGUAL;Lending;Lending;I
CGUAS;Lending;Lending;I
CGUCL;Lending;Lending;I
CGUCM;Lending;Lending;I
CGUCO;Lending;Lending;I
CGURL;Lending;Lending;I
CGURM;Lending;Lending;I
CGURO;Lending;Lending;I
CHFCM;Lending;Lending;I
CHFCO;Lending;Lending;I
CINI1;Lending;Lending;I
CINIA;Lending;Lending;I
CINIC;Lending;Lending;I
CINO1;Lending;Lending;I
CINOA;Lending;Lending;I
CINOC;Lending;Lending;I
CITIA;Lending;Lending;I
CITIC;Lending;Lending;I
CLAUDCNF;Financial_Markets;Financial_Markets;R
CLBANKLIM1;Lending;Lending;R
CLBANKLND1;Lending;Lending;R
CLBANKLOA1;Lending;Lending;R
CLBCKWG18;Lending;Lending;R
CLBGECOMM;Lending;Lending;R
CLBNKEXP;Lending;Lending;R
CLCALLDEP;Lending;Lending;R
CLCASHINT;Financial_Markets;Financial_Markets;R
CLCBNREL;Financial_Markets;Financial_Markets;R
CLCCRYOUT;Financial_Markets;Financial_Markets;R
CLCHECKFAC;Financial_Markets;Financial_Markets;R
CLCHKCGURO;Financial_Markets;Financial_Markets;R
CLCMCONAL;Lending;Lending;R
CLCMLOALST;Lending;Lending;R
CLCMOUTIN2;Lending;Lending;R
CLCMOUTINT;Lending;Lending;R
CLCOMCHGE;Lending;Lending;R
CLCOMDCT;Lending;Lending;R
CLCOMDCTG;Lending;Lending;R
CLCOMINT;Lending;Lending;R
CLCOMMLIST;Lending;Lending;R
CLCOMMLST;Lending;Lending;R
CLCOMNEW;Lending;Lending;R
CLCOMOUT;Lending;Lending;R
CLCOMTOPAY;Lending;Lending;R
CLCOMUNPAI;Lending;Lending;R
CLCOMWAR;Lending;Lending;R
CLCONSELCM;Lending;Lending;R
CLCPACC;MDM_Management;Core_Banking;R
CLCPACCT;MDM_Management;Core_Banking;R
CLCPACIRC;MDM_Management;Core_Banking;R
CLCPACRS;MDM_Management;Core_Banking;R
CLCPBND;MDM_Management;Core_Banking;R
CLCPBNDC;MDM_Management;Core_Banking;R
CLCPBNDL;MDM_Management;Core_Banking;R
CLCPBRCH;MDM_Management;Core_Banking;R
CLCPBROK;MDM_Management;Core_Banking;R
CLCPBVAL;MDM_Management;Core_Banking;R
CLCPCBN;MDM_Management;Core_Banking;R
CLCPCHA;MDM_Management;Core_Banking;R
CLCPCHQE;MDM_Management;Core_Banking;R
CLCPCO;MDM_Management;Core_Banking;R
CLCPCTP;MDM_Management;Core_Banking;R
CLCPCTP2;MDM_Management;Core_Banking;R
CLCPCTRY;MDM_Management;Core_Banking;R
CLCPCURR;MDM_Management;Core_Banking;R
CLCPEO;MDM_Management;Core_Banking;R
CLCPEXC;MDM_Management;Core_Banking;R
CLCPFAC;MDM_Management;Core_Banking;R
CLCPFAM;MDM_Management;Core_Banking;R
CLCPFRA;MDM_Management;Core_Banking;R
CLCPFX;MDM_Management;Core_Banking;R
CLCPGUA;MDM_Management;Core_Banking;R
CLCPIRS;MDM_Management;Core_Banking;R
CLCPLD;MDM_Management;Core_Banking;R
CLCPLDCM;MDM_Management;Core_Banking;R
CLCPPFTC;MDM_Management;Core_Banking;R
CLCPPMNT;MDM_Management;Core_Banking;R
CLCPPMT2;MDM_Management;Core_Banking;R
CLCPPMTC;MDM_Management;Core_Banking;R
CLCPPRD;MDM_Management;Core_Banking;R
CLCPPRNL;MDM_Management;Core_Banking;R
CLCPRATE;MDM_Management;Core_Banking;R
CLCPRES;MDM_Management;Core_Banking;R
CLCPSEC;MDM_Management;Core_Banking;R
CLCPSHR;MDM_Management;Core_Banking;R
CLCPSHRLI;MDM_Management;Core_Banking;R
CLCPSHRM;MDM_Management;Core_Banking;R
CLCPSIM;MDM_Management;Core_Banking;R
CLCROCO;Lending;Lending;R
CLCRYCTP;Lending;Lending;R
CLCRYOUT2;Lending;Lending;R
CLCRYOUTD;Lending;Lending;R
CLCRYOUTR;Lending;Lending;R
CLCTPRISAS;Lending;Lending;R
CLCUSACCOF;Lending;Lending;R
CLCUSCOM;Lending;Lending;R
CLCUSTLIM1;Lending;Lending;R
CLCUSTLND1;Lending;Lending;R
CLCUSTLOA1;Lending;Lending;R
CLCUSTLOA2;Lending;Lending;R
CLDLL;Lending;Lending;R
CLDLLAGZ;Lending;Lending;R
CLDLLISIMO;Lending;Lending;R
CLDLLORM;Lending;Lending;R
CLDLRAVA;Lending;Lending;R
CLDLYCALL;Lending;Lending;R
CLDLYMVT;Lending;Lending;R
CLEQOPOUT;Lending;Lending;R
CLEQOPOUT2;Financial_Markets;Financial_Markets;R
CLEXSOUTO;Lending;Lending;R
CLEXSSPOT;Financial_Markets;Financial_Markets;R
CLEXSSPOT2;Financial_Markets;Financial_Markets;R
CLFACCRCS;Lending;Lending;R
CLFACCRTRE;Lending;Lending;R
CLFACDOCIN;Lending;Lending;R
CLFACFDD;Lending;Lending;R
CLFACFIMAT;Lending;Lending;R
CLFACFLFCR;Lending;Lending;R
CLFACINT;Lending;Lending;R
CLFACINTRM;Lending;Lending;R
CLFACINVRE;Lending;Lending;R
CLFACIRFFT;Lending;Lending;R
CLFACIRV2M;Lending;Lending;R
CLFACLNREP;Lending;Lending;R
CLFACMAT2M;Lending;Lending;R
CLFACMEMRE;Lending;Lending;R
CLFACNHOAP;Lending;Lending;R
CLFACOUTRE;Lending;Lending;R
CLFACOVER;Lending;Lending;R
CLFACREPRE;Lending;Lending;R
CLFACREPWA;Lending;Lending;R
CLFACUNU;Lending;Lending;R
CLFACWAR;Lending;Lending;R
CLFAMFLFCR;Lending;Lending;R
CLFUSLST;Lending;Lending;R
CLGUACOM;Lending;Lending;R
CLGUAINTER;Lending;Lending;R
CLGUAISSRE;Lending;Lending;R
CLGUAMEMRE;Lending;Lending;R
CLGUAPMT;Lending;Lending;R
CLGUAREPRE;Lending;Lending;R
CLGUATRANS;Lending;Lending;R
CLGUAWAR;Lending;Lending;R
CLGUAXDMAT;Lending;Lending;R
CLHOLWARN;Lending;Lending;R
CLLDCMAUT;Lending;Lending;R
CLLDCMDEAL;TECHNICAL_KERNEL;Core_Banking;R
CLLDMMDEAL;TECHNICAL_KERNEL;Core_Banking;R
CLLISABA1S;TECHNICAL_KERNEL;Core_Banking;R
CLLOAOUT;Lending;Lending;R
CLLSTWAR;Lending;Lending;R
CLMTBNKPFY;Financial_Markets;Financial_Markets;R
CLMTCUSPF2;Financial_Markets;Financial_Markets;R
CLMTCUSPFY;Financial_Markets;Financial_Markets;R
CLMTDBLDEP;Financial_Markets;Financial_Markets;R
CLMTDEALS;Financial_Markets;Financial_Markets;R
CLMTDEANEW;Financial_Markets;Financial_Markets;R
CLMTEXECUT;Financial_Markets;Financial_Markets;R
CLMTPORTFL;Financial_Markets;Financial_Markets;R
CLMTWARMAT;Financial_Markets;Financial_Markets;R
CLOUTBLEBD;TECHNICAL_KERNEL;Core_Banking;R
CLOUTDEPFA;Lending;Lending;R
CLPBAUM;Financial_Markets;Financial_Markets;R
CLPBLIST;Financial_Markets;Financial_Markets;R
CLPBPORTF;Financial_Markets;Financial_Markets;R
CLPERSONNL;Lending;Lending;R
CLPRIBASLN;Lending;Lending;R
CLPRIBASSM;Lending;Lending;R
CLPRIBNK;UNUSED;Core_Banking;R
CLPRIBNK2;UNUSED;Core_Banking;R
CLPRIBNK3;UNUSED;Core_Banking;R
CLPRIDEALS;UNUSED;Core_Banking;R
CLRCPV6;UNUSED;Core_Banking;R
CLRTROUT;UNUSED;Core_Banking;R
CLSECCOMP;Lending;Lending;R
CLSECFIMAT;Lending;Lending;R
CLSECFLFCR;Lending;Lending;R
CLSECINT;Lending;Lending;R
CLSECINVRE;Lending;Lending;R
CLSECMAT2M;Lending;Lending;R
CLSECMATRE;Lending;Lending;R
CLSECMEMRE;Lending;Lending;R
CLSECTYP2C;Lending;Lending;R
CLSECTYP2M;Lending;Lending;R
CLSHRCMP;Lending;Lending;R
CLSHRCUST;Lending;Lending;R
CLSHRDVD;Lending;Lending;R
CLSHRFEE;Financial_Markets;Financial_Markets;R
CLSHRLIST;Financial_Markets;Financial_Markets;R
CLSHRMAS;Financial_Markets;Financial_Markets;R
CLSHRMOST;TECHNICAL_KERNEL;Core_Banking;R
CLSHROUT;TECHNICAL_KERNEL;Core_Banking;R
CLSHRPORTF;Financial_Markets;Financial_Markets;R
CLSHRPROF;Financial_Markets;Financial_Markets;R
CLSHRPROLO;Financial_Markets;Financial_Markets;R
CLSHRSECVL;Lending;Lending;R
CLSHRVOL;Financial_Markets;Financial_Markets;R
CLSYNSUB;Financial_Markets;Financial_Markets;R
CLWARROLL;Lending;Lending;R
CLWARROLL2;Lending;Lending;R
CLWHTSDT;Account_Management;Core_Banking;R
CLYRLYTAX;Account_Management;Core_Banking;R
CMHI5;Lending;Lending;I
CMHIA;Lending;Lending;I
CMHIC;Lending;Lending;I
CMHIF;Lending;Lending;I
CMHIO;Lending;Lending;I
CMRGL;MDM_Management;Core_Banking;I
CMRGM;MDM_Management;Core_Banking;I
CMRGO;MDM_Management;Core_Banking;I
CMTBL;Lending;Lending;I
CMTBO;Lending;Lending;I
CMTC5;Financial_Markets;Financial_Markets;I
CMTCO;Financial_Markets;Financial_Markets;I
CMTCS;Financial_Markets;Financial_Markets;I
CMTD1;Financial_Markets;Financial_Markets;I
CMTD5;Financial_Markets;Financial_Markets;I
CMTDC;Financial_Markets;Financial_Markets;I
CMTEX;Financial_Markets;Financial_Markets;I
CMTHE;Financial_Markets;Financial_Markets;I
CMTI4;Financial_Markets;Financial_Markets;I
CMTI5;Lending;Lending;I
CMTIF;Lending;Lending;I
CMTIM;Lending;Lending;I
CMTIO;Lending;Lending;I
CMTL4;Lending;Lending;I
CMTL5;Lending;Lending;I
CMTLL;Lending;Lending;I
CMTLM;Lending;Lending;I
CMTLO;Lending;Lending;I
CMTTC;Financial_Markets;Financial_Markets;I
CMTVM;Financial_Markets;Financial_Markets;I
CNTRYBYBBL;Financial_Markets;Financial_Markets;R
CNTRYBYISO;Financial_Markets;Financial_Markets;R
CNTRYBYLOC;Financial_Markets;Financial_Markets;R
COMSO;Lending;Lending;I
COTIA;Lending;Lending;I
COTIC;Lending;Lending;I
CPAY1;Financial_Markets;Financial_Markets;I
CPAYA;Lending;Lending;I
CPAYC;Lending;Lending;I
CPBC5;Financial_Markets;Financial_Markets;I
CPBCA;UNUSED;Core_Banking;I
CPBCC;UNUSED;Core_Banking;I
CPBCO;UNUSED;Core_Banking;I
CPBGM;Financial_Markets;Financial_Markets;I
CPBGO;UNUSED;Core_Banking;I
CPBO2;Financial_Markets;Financial_Markets;I
CPBP5;Financial_Markets;Financial_Markets;I
CPBPM;Financial_Markets;Financial_Markets;I
CPBPO;UNUSED;Core_Banking;I
CPIIC;Lending;Lending;I
CPOIC;Lending;Lending;I
CPOS5;Lending;Lending;I
CPTD1;Lending;Lending;I
CPTDC;Lending;Lending;I
CPTIC;Lending;Lending;I
CPTIL;Lending;Lending;I
CPTIO;Lending;Lending;I
CPYIA;Lending;Lending;I
CPYIC;Lending;Lending;I
CRCIA;Lending;Lending;I
CRCIC;Lending;Lending;I
CRCYM;Lending;Lending;I
CREC1;Lending;Lending;I
CRECA;Lending;Lending;I
CRECC;Lending;Lending;I
CREP5;Lending;Lending;I
CREPL;Lending;Lending;I
CREPM;Lending;Lending;I
CREPO;UNUSED;Core_Banking;I
CREXM;Lending;Lending;I
CREXO;Lending;Lending;I
CRIIA;Lending;Lending;I
CRIIC;Lending;Lending;I
CRISO;Lending;Lending;I
CRMI1;Lending;Lending;I
CRMIA;Lending;Lending;I
CRMIC;Lending;Lending;I
CRMO1;Lending;Lending;I
CRMOA;Lending;Lending;I
CRMOC;Lending;Lending;I
CROCL;Lending;Lending;I
CROCM;Lending;Lending;I
CROCO;Lending;Lending;I
CROIA;Lending;Lending;I
CROIC;Lending;Lending;I
CRTR1;Lending;Lending;I
CRTR3;Lending;Lending;I
CRTRO;Finance;Core_Banking;I
CRXMO;Financial_Markets;Financial_Markets;I
CSC1M;Lending;Lending;I
CSC2M;Lending;Lending;I
CSCOL;Lending;Lending;I
CSCOM;Lending;Lending;I
CSCOO;Lending;Lending;I
CSCYM;Lending;Lending;I
CSE1M;Lending;Lending;I
CSE2C;Lending;Lending;I
CSE2M;Lending;Lending;I
CSE3C;Lending;Lending;I
CSEC1;Lending;Lending;I
CSEC2;Lending;Lending;I
CSEC4;Lending;Lending;I
CSEC5;Lending;Lending;I
CSEC6;Lending;Lending;I
CSECF;Lending;Lending;I
CSECL;Lending;Lending;I
CSECS;Lending;Lending;I
CSEI5;Lending;Lending;I
CSEIO;UNUSED;Core_Banking;I
CSH2A;Financial_Markets;Financial_Markets;I
CSHA5;Financial_Markets;Financial_Markets;I
CSHAA;Financial_Markets;Financial_Markets;I
CSHAL;UNUSED;Core_Banking;I
CSHAO;UNUSED;Core_Banking;I
CSHC5;Financial_Markets;Financial_Markets;I
CSHCO;UNUSED;Core_Banking;I
CSHCS;Financial_Markets;Financial_Markets;I
CSHDS;Financial_Markets;Financial_Markets;I
CSHM5;Financial_Markets;Financial_Markets;I
CSHMA;Financial_Markets;Financial_Markets;I
CSHML;UNUSED;Core_Banking;I
CSHMO;UNUSED;Core_Banking;I
CSHO5;Financial_Markets;Financial_Markets;I
CSHOA;Financial_Markets;Financial_Markets;I
CSHOO;UNUSED;Core_Banking;I
CSHRA;Financial_Markets;Financial_Markets;I
CSHRO;UNUSED;Core_Banking;I
CSHSC;Financial_Markets;Financial_Markets;I
CSHT5;Financial_Markets;Financial_Markets;I
CSHTA;Financial_Markets;Financial_Markets;I
CSHTC;Financial_Markets;Financial_Markets;I
CSHTL;UNUSED;Core_Banking;I
CSHTM;Financial_Markets;Financial_Markets;I
CSHTO;UNUSED;Core_Banking;I
CSHVO;UNUSED;Core_Banking;I
CSIM5;Lending;Lending;I
CSIMS;Lending;Lending;I
CSLFO;Finance;Core_Banking;I
CSSHL;UNUSED;Core_Banking;I
CSSHM;UNUSED;Core_Banking;I
CSSHO;UNUSED;Core_Banking;I
CUATCRLOVR;Lending;Lending;R
CUBANKEXC1;Lending;Lending;R
CUCCMHOUPD;Lending;Lending;R
CUCEXRO;MDM_Management;Core_Banking;R
CUCHGIPRD;Lending;Lending;R
CUCLEANCOM;Financial_Markets;Financial_Markets;R
CUCLEANDIC;Financial_Markets;Financial_Markets;R
CUCLEANRES;Lending;Lending;R
CUCOMATRDO;Lending;Lending;R
CUCOMCLEAN;Lending;Lending;R
CUCOMCRINT;Lending;Lending;R
CUCONFIF2;Lending;Lending;R
CUCONFIFS;Lending;Lending;R
CUCONFIRM;Lending;Lending;R
CUCONFMIL;Lending;Lending;R
CUCRSWCM2;Lending;Lending;R
CUCUSTEXC1;Lending;Lending;R
CUDELCM;Lending;Lending;R
CUDELCMCON;Lending;Lending;R
CUDLLRDS;Lending;Lending;R
CUDLYABN;Account_Management;Core_Banking;R
CUDLYABS;Lending;Lending;R
CUDLYCOMTR;Lending;Lending;R
CUDLYCSLFO;Finance;Core_Banking;R
CUDLYFACTR;Lending;Lending;R
CUDLYFUSTR;Lending;Lending;R
CUDLYREPWA;Lending;Lending;R
CUDLYRTR;Finance;Core_Banking;R
CUDLYSECTR;Lending;Lending;R
CUDLYSHROP;Financial_Markets;Financial_Markets;R
CUDLYSHRTR;Financial_Markets;Financial_Markets;R
CUEXSDELH;Financial_Markets;Financial_Markets;R
CUEXSINITH;Lending;Lending;R
CUEXSOUTO1;Lending;Lending;R
CUEXSOUTOH;Lending;Lending;R
CUFACOUTS;Lending;Lending;R
CUFEECAL;Lending;Lending;R
CUFLOATRTE;Lending;Lending;R
CUGUAACCRE;Lending;Lending;R
CUGUACMCNF;Lending;Lending;R
CUGUACOMA2;Lending;Lending;R
CUGUACOMAD;Lending;Lending;R
CUGUACOMEX;Lending;Lending;R
CUGUACONTR;Lending;Lending;R
CUHKPFAC;Lending;Lending;R
CUHLPDELCM;Lending;Lending;R
CUICNFS;MDM_Management;Core_Banking;R
CUIFLTRTE;Financial_Markets;Financial_Markets;R
CUIPMM;Lending;Lending;R
CUIPRDCHG;Financial_Markets;Financial_Markets;R
CULDCRYRIS;TECHNICAL_KERNEL;Core_Banking;R
CULOADCBFM;Finance;Core_Banking;R
CUMAKRISCL;Lending;Lending;R
CUMAKRISCT;Lending;Lending;R
CUMAKRISSE;Lending;Lending;R
CUMATPOS;Lending;Lending;R
CUMLYACCCL;Lending;Lending;R
CUMLYRTR;Lending;Lending;R
CUMMPURI;Lending;Lending;R
CUMTCLOSE;Financial_Markets;Financial_Markets;R
CUORPHSEC;Financial_Markets;Financial_Markets;R
CUPBPORTF;Financial_Markets;Financial_Markets;R
CUPBVALUE;Financial_Markets;Financial_Markets;R
CUPDPFAC;Lending;Lending;R
CUREUTIMP;Financial_Markets;Financial_Markets;R
CURTRFAC;Lending;Lending;R
CURTRFACCH;Lending;Lending;R
CURTRFILL;Finance;Core_Banking;R
CURTRRISCH;Finance;Core_Banking;R
CURXMRECON;Financial_Markets;Financial_Markets;R
CUSELPAYM;Lending;Lending;R
CUSHRCUSTM;Account_Management;Core_Banking;R
CUSHRDVD;Financial_Markets;Financial_Markets;R
CUSHRLOG;Financial_Markets;Financial_Markets;R
CUSHRPRCLD;Financial_Markets;Financial_Markets;R
CUSHRRESTR;Financial_Markets;Financial_Markets;R
CUTRFACSEC;Lending;Lending;R
CUTRFWAREP;Lending;Lending;R
CUUPDFAC;Lending;Lending;R
CVAL1;Lending;Lending;I
DAEQ1;Account_Management;Core_Banking;I
DBAT5;Account_Management;Core_Banking;I
DBATM;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DBATO;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DBIL5;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DBILO;Account_Management;Core_Banking;I
DBRAM;Account_Management;Core_Banking;I
DCBDO;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DCBIC;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DCBMM;MDM_Management;Core_Banking;I
DCBMO;MDM_Management;Core_Banking;I
DCBRO;Finance;Core_Banking;I
DCDIC;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DCLH1;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DCLH5;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DCLHO;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DCLP5;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DCLT2;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DCLT5;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DCLTO;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DCNB5;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DCNBC;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DCNCC;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DCND5;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DCND6;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DCNDA;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DCNDL;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DCNDO;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DCNDS;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DCNDT;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DCNI5;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DCNIC;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DCNIF;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DCNIO;UNUSED;Core_Banking;I
DCNP5;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DCNPC;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DCNT5;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DCNTL;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DCNTM;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DCNTO;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DCON5;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DCONA;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DCONDLIST;Payment_And_Cash_Management;Payment_And_Cash_Management;R
DCONO;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DCOV1;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DCOVO;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DCPIC;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DCPOO;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DCTI5;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DCTIF;Account_Management;Core_Banking;I
DCTIM;Account_Management;Core_Banking;I
DCTIO;Account_Management;Core_Banking;I
DCTRM;Account_Management;Core_Banking;I
DCTRO;Account_Management;Core_Banking;I
DDDC5;Account_Management;Core_Banking;I
DDDC6;Account_Management;Core_Banking;I
DDDCL;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DDDCM;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DDDCO;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DDETO;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DDI2M;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DDICM;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DEBF1;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DEBFO;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DECHM;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DEFIN;TECHNICAL_KERNEL;Core_Banking;I
DFID1;TECHNICAL_KERNEL;Core_Banking;I
DFIDO;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DFIM5;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DFIMO;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DFRTC;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DFRTO;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DFSC5;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DFSCF;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DFSCI;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DFSCL;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DFSCM;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DFSCO;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DFSIF;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DFSII;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DFSIL;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DFSIM;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DFSIO;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DGCAL;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DGCAM;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DGCAO;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DHDD1;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DHERECBAT;Payment_And_Cash_Management;Payment_And_Cash_Management;R
DHERECRSND;Payment_And_Cash_Management;Payment_And_Cash_Management;R
DHIG1;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DHII1;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DHII2;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DHIN1;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DHIU1;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DHOG1;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DHOI1;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DHOI2;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DHON1;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DHOU1;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DICD1;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DICM1;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DICM5;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DIDD1;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DIDDF;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DIDE1;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DIDEC;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DIDEF;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DIIE1;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DIIEC;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DIIEF;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DIIG1;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DIIGC;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DIIGF;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DIII2;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DIIIF;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DIIN1;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DIINC;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DIINF;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DIIRC;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DIIU1;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DIIUC;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DIIUF;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DIO2C;Payment_And_Cash_Management;Payment_And_Cash_Management;I
DIOD2;Payment_And_Cash_Management;Payment_And_Cash_Management;I
