Program_Name;IFS_7P_Module;IFS_4P_Module;ProgramType
ALDETHOF;Account_Management;Core_Banking;R
ALDETPOL;Account_Management;Core_Banking;R
ALDLAVGBAL;Account_Management;Core_Banking;R
ALDLBSHRCN;Account_Management;Core_Banking;R
ALDLCBITAC;Account_Management;Core_Banking;R
ALDLCBITCS;Finance;Core_Banking;R
ALDLCBITLC;Finance;Core_Banking;R
ALDLCBITMV;Finance;Core_Banking;R
ALDLCBRCTP;Finance;Core_Banking;R
ALDLCBRPT;Finance;Core_Banking;R
ALDLCTPSIS;Finance;Core_Banking;R
ALDLCUSBAL;Account_Management;Core_Banking;R
ALDLL372NY;Account_Management;Core_Banking;R
ALDLLABA1S;Account_Management;Core_Banking;R
ALDLLACCR;Account_Management;Core_Banking;R
ALDLLADETS;Account_Management;Core_Banking;R
ALDLLATLAS;UNUSED;Core_Banking;R
ALDLLAWV;Finance;Core_Banking;R
ALDLLBALBV;Finance;Core_Banking;R
ALDLLBOS;Finance;Core_Banking;R
ALDLLCBRAT;UNUSED;Core_Banking;R
ALDLLCBRGE;TECHNICAL_KERNEL;Core_Banking;R
ALDLLCCRCN;TECHNICAL_KERNEL;Core_Banking;R
ALDLLCPCA;Finance;Core_Banking;R
ALDLLCRSGE;Finance;Core_Banking;R
ALDLLCUSAC;Account_Management;Core_Banking;R
ALDLLCUST;Account_Management;Core_Banking;R
ALDLLDIBA;TECHNICAL_KERNEL;Core_Banking;R
ALDLLELSAG;TECHNICAL_KERNEL;Core_Banking;R
ALDLLGFRS;TECHNICAL_KERNEL;Core_Banking;R
ALDLLGRP1;TECHNICAL_KERNEL;Core_Banking;R
ALDLLGRP2;TECHNICAL_KERNEL;Core_Banking;R
ALDLLGXINV;TECHNICAL_KERNEL;Core_Banking;R
ALDLLINT;TECHNICAL_KERNEL;Core_Banking;R
ALDLLINT2;TECHNICAL_KERNEL;Core_Banking;R
ALDLLKPMG;TECHNICAL_KERNEL;Core_Banking;R
ALDLLLCBNS;TECHNICAL_KERNEL;Core_Banking;R
ALDLLMVT;TECHNICAL_KERNEL;Core_Banking;R
ALDLLOFA;TECHNICAL_KERNEL;Core_Banking;R
ALDLLTOTB;Finance;Core_Banking;R
ALDLLWBF;Finance;Core_Banking;R
ALDLLXNPVB;Finance;Core_Banking;R
ALDLREPFFT;Finance;Core_Banking;R
ALDLREPLOA;Finance;Core_Banking;R
ALDLREPRSK;Finance;Core_Banking;R
ALDLREPSUB;Finance;Core_Banking;R
ALDLSUMVT;Account_Management;Core_Banking;R
ALDRMACC;Account_Management;Core_Banking;R
ALESPBSH;Account_Management;Core_Banking;R
ALEXCRAT01;Finance;Core_Banking;R
ALEXCRAT02;TECHNICAL_KERNEL;Core_Banking;R
ALFCM130;Financial_Markets;Financial_Markets;R
ALFOLCHK;Account_Management;Core_Banking;R
ALFOLDIR;Account_Management;Core_Banking;R
ALFXDYMVT;Financial_Markets;Financial_Markets;R
ALGENINTCD;Account_Management;Core_Banking;R
ALGR4;Account_Management;Core_Banking;I
ALGRL;Finance;Core_Banking;I
ALGRS;Finance;Core_Banking;I
ALHKM001;Finance;Core_Banking;R
ALHKM002;Finance;Core_Banking;R
ALHKME01;Finance;Core_Banking;R
ALHKMF01;Finance;Core_Banking;R
ALHKMI01;Finance;Core_Banking;R
ALHKMJ01;Finance;Core_Banking;R
ALHKMK01;Finance;Core_Banking;R
ALHKML01;Finance;Core_Banking;R
ALHKMM01;Finance;Core_Banking;R
ALHKMS01;Finance;Core_Banking;R
ALHKMX01;Finance;Core_Banking;R
ALINTBAL;Finance;Core_Banking;R
ALINTINT;Account_Management;Core_Banking;R
ALINTREP;Account_Management;Core_Banking;R
ALINTRES;Account_Management;Core_Banking;R
ALJSTCON;Account_Management;Core_Banking;R
ALKOLCONF;UNUSED;Core_Banking;R
ALLACBNK;UNUSED;Core_Banking;R
ALLBRAUT;UNUSED;Core_Banking;R
ALLSTADETS;Account_Management;Core_Banking;R
ALLZB001;Finance;Core_Banking;R
ALMARCOV;Financial_Markets;Financial_Markets;R
ALMRGGAL;Financial_Markets;Financial_Markets;R
ALMVTFUT;Financial_Markets;Financial_Markets;R
ALMVTREP1;Financial_Markets;Financial_Markets;R
ALMVTREP2;Financial_Markets;Financial_Markets;R
ALMVTREP3;Finance;Core_Banking;R
ALMVTREP4;Finance;Core_Banking;R
ALMVTREPI;Finance;Core_Banking;R
ALMVTREPIT;Finance;Core_Banking;R
ALNDM;Finance;Core_Banking;I
ALNOSFXPOS;Finance;Core_Banking;R
ALOVDETS;Finance;Core_Banking;R
ALPORBSH;Finance;Core_Banking;R
ALRBRCHK;Finance;Core_Banking;R
ALRBRO;Finance;Core_Banking;R
ALRESHIS;Finance;Core_Banking;R
ALRGRPOS;Financial_Markets;Financial_Markets;R
ALRGRPOS2;Financial_Markets;Financial_Markets;R
ALRGRPOS3;Financial_Markets;Financial_Markets;R
ALROOTBKT;Financial_Markets;Financial_Markets;R
ALRTBKELIS;Account_Management;Core_Banking;R
ALSDTAXAUT;Account_Management;Core_Banking;R
ALSIHINT;Account_Management;Core_Banking;R
ALSPCDTAUT;Account_Management;Core_Banking;R
ALTABABSL;TECHNICAL_KERNEL;Core_Banking;R
ALTAXHST;Account_Management;Core_Banking;R
ALTAXKOL;Account_Management;Core_Banking;R
ALTLLCNV;Account_Management;Core_Banking;R
ALUIC001;Account_Management;Core_Banking;R
ALUNUSEDRL;Account_Management;Core_Banking;R
ALVERPL;Finance;Core_Banking;R
AMDC4;Finance;Core_Banking;I
AMDC5;Finance;Core_Banking;I
AMDCC;Finance;Core_Banking;I
AMDCF;Finance;Core_Banking;I
AMDCG;Finance;Core_Banking;I
AMDCH;Finance;Core_Banking;I
AMDCM;Finance;Core_Banking;I
AMDCO;Account_Management;Core_Banking;I
AMVT1;Account_Management;Core_Banking;I
AMVT5;Account_Management;Core_Banking;I
AMVT6;Account_Management;Core_Banking;I
AMVT7;Account_Management;Core_Banking;I
AMVT8;Account_Management;Core_Banking;I
AMVT9;Account_Management;Core_Banking;I
AMVTC;Account_Management;Core_Banking;I
AMVTM;Account_Management;Core_Banking;I
AMVTO;Account_Management;Core_Banking;I
ANCPM;Payment_And_Cash_Management;Payment_And_Cash_Management;I
ANEUL;Finance;Core_Banking;I
ANEUM;Finance;Core_Banking;I
ANEUO;Finance;Core_Banking;I
ANOS1;Finance;Core_Banking;I
ANOSC;Account_Management;Core_Banking;I
ANTU4;Account_Management;Core_Banking;I
ANTUL;Account_Management;Core_Banking;I
ANTUS;Account_Management;Core_Banking;I
APAGEXS;TECHNICAL_KERNEL;Core_Banking;R
APBO5;Financial_Markets;Financial_Markets;I
APBOM;Account_Management;Core_Banking;I
APPNL;TECHNICAL_KERNEL;Core_Banking;I
APPNM;TECHNICAL_KERNEL;Core_Banking;I
APPNO;MDM_Management;Core_Banking;I
ARBR1;MDM_Management;Core_Banking;I
ARBRL;Finance;Core_Banking;I
ARBRM;Finance;Core_Banking;I
ARBRO;Finance;Core_Banking;I
ARCDL;Finance;Core_Banking;I
ARCDM;Finance;Core_Banking;I
ARCDO;Finance;Core_Banking;I
AREI5;Finance;Core_Banking;I
AREIC;Account_Management;Core_Banking;I
AREIF;Account_Management;Core_Banking;I
AREIO;Account_Management;Core_Banking;I
ARES1;Account_Management;Core_Banking;I
ARES4;Account_Management;Core_Banking;I
ARESL;Account_Management;Core_Banking;I
ARESS;Account_Management;Core_Banking;I
ARETC;Account_Management;Core_Banking;I
ARETL;Account_Management;Core_Banking;I
ARETO;Account_Management;Core_Banking;I
AROTL;Finance;Core_Banking;I
AROTM;Finance;Core_Banking;I
AROTO;Finance;Core_Banking;I
ARPP4;Finance;Core_Banking;I
ARPPM;Finance;Core_Banking;I
ARPPO;MDM_Management;Core_Banking;I
ASEL5;MDM_Management;Core_Banking;I
ASELL;Financial_Markets;Financial_Markets;I
ASELM;Account_Management;Core_Banking;I
ASELO;Account_Management;Core_Banking;I
ASPAL;Account_Management;Core_Banking;I
ASPAM;Account_Management;Core_Banking;I
ASPAS;Account_Management;Core_Banking;I
ASPI5;Account_Management;Core_Banking;I
ASPIF;Account_Management;Core_Banking;I
ASPIM;Account_Management;Core_Banking;I
ASPIO;Account_Management;Core_Banking;I
ASTDM;Finance;Core_Banking;I
ASTDO;Finance;Core_Banking;I
ASTM4;Finance;Core_Banking;I
ASTMO;Account_Management;Core_Banking;I
ASTMS;Account_Management;Core_Banking;I
ATAD5;Account_Management;Core_Banking;I
ATADL;Account_Management;Core_Banking;I
