Program_Name;Module_Name
DLACCDWH;TECHNICAL_KERNEL
DLACCDWH;TECHNICAL_KERNEL
DLCFATF7AD;TECHNICAL_KERNEL
DLCFATF7AD;TECHNICAL_KERNEL
DLCUSMVTPT;TECHNICAL_KERNEL
DLCUSMVTPT;TECHNICAL_KERNEL
DLDLCCLCUS;TECHNICAL_KERNEL
DLDLLINTIT;TECHNICAL_KERNEL
DLDLLINTIT;TECHNICAL_KERNEL
DLDLLPBINT;TECHNICAL_KERNEL
DLDLLPBINT;TECHNICAL_KERNEL
DLDLLPBOS;TECHNICAL_KERNEL
DLDLLPBOS;TECHNICAL_KERNEL
DLDLLPBPF;TECHNICAL_KERNEL
DLDLLPBPF;TECHNICAL_KERNEL
DLICMACC;TECHNICAL_KERNEL
DLICMACC;TECHNICAL_KERNEL
DLLSBTAX;TECHNICAL_KERNEL
DLLSBTAX;TECHNICAL_KERNEL
DLPRINTSTD;TECHNICAL_KERNEL
DLPRINTSTD;TECHNICAL_KERNEL
DLSMCTAM1;TECHNICAL_KERNEL
DLSMCTAM2;TECHNICAL_KERNEL
DLSMCTPIM1;TECHNICAL_KERNEL
DLSMCTPIM1;TECHNICAL_KERNEL
DLSMCTPIM2;TECHNICAL_KERNEL
DUACCBLK;TECHNICAL_KERNEL
DUACCBLK;TECHNICAL_KERNEL
DUCALCOSTS;Account_Management
DUCALCOSTS;TECHNICAL_KERNEL
DUCALCOSTS;TECHNICAL_KERNEL
DUCALCSTD;Account_Management
DUCALCSTD;TECHNICAL_KERNEL
DUCALCSTD;TECHNICAL_KERNEL
DULDCUSPBO;Account_Management
DULDCUSPBO;Account_Management
DULDCUSPBO;Account_Management
DULDCUSPBO;Account_Management
DULDCUSPBO;Account_Management
DULDCUSPBO;Account_Management
DULDCUSPBO;Account_Management
DULDCUSPBO;MDM_Management
DULDCUSPBO;Account_Management
DULDCUSPBO;TECHNICAL_KERNEL
DULDCUSPBO;TECHNICAL_KERNEL
DULDCUSPBO;TECHNICAL_KERNEL
DULDCUSTM;TECHNICAL_KERNEL
DULDCUSTM;TECHNICAL_KERNEL
DULDSEBIL;TECHNICAL_KERNEL
DULDSEBIL;TECHNICAL_KERNEL
DULDSEBIL;TECHNICAL_KERNEL
DUSWFCCR;TECHNICAL_KERNEL
DUSWFCCR;TECHNICAL_KERNEL
GPRTA;Account_Management
GUFFTFIX;TECHNICAL_KERNEL
GUFFTFIX;TECHNICAL_KERNEL
GUGPRTO;TECHNICAL_KERNEL
GUGPRTO;TECHNICAL_KERNEL
HGLOADMDC;Account_Management
IBATA;Account_Management
IINIF;Account_Management
IINIM;Account_Management
IINIM;MDM_Management
IINTM;Account_Management
IINTM;MDM_Management
ILAUDFFTTM;TECHNICAL_KERNEL
ILAUDFFTTM;TECHNICAL_KERNEL
ILAUDITFFT;TECHNICAL_KERNEL
ILAUDITFFT;TECHNICAL_KERNEL
ILAUDITLO3;TECHNICAL_KERNEL
ILAUDITLO3;TECHNICAL_KERNEL
ILINTBASRT;TECHNICAL_KERNEL
ILINTBASRT;TECHNICAL_KERNEL
ILNOSDTFUT;TECHNICAL_KERNEL
ILNOSDTFUT;TECHNICAL_KERNEL
ILNOSDTPO2;TECHNICAL_KERNEL
ILNOSDTPO2;TECHNICAL_KERNEL
ILNOSDTPOS;TECHNICAL_KERNEL
ILNOSDTPOS;TECHNICAL_KERNEL
IUCLRATE;TECHNICAL_KERNEL
JAAUAHLBO;Account_Management
JAAUAHLBO;Account_Management
LCBIM;Account_Management
LCBNM;Account_Management
LCI1C;Account_Management
LCI2C;Account_Management
LCI3C;Account_Management
LCI4C;Account_Management
LCI5C;Account_Management
LCI6C;Account_Management
LCI7C;Account_Management
LCP1C;Account_Management
LCP1C;Account_Management
LCT3C;Account_Management
LCT3C;Account_Management
LCTIF;Account_Management
LCTIF;Account_Management
LCTSM;Account_Management
LELIC;Account_Management
LELIF;Account_Management
LLCTPCLI;TECHNICAL_KERNEL
LLCTPCLI;TECHNICAL_KERNEL
LLPACBAL;TECHNICAL_KERNEL
LLPACTRA;TECHNICAL_KERNEL
LOJCORO;Account_Management
LOJDINR;TECHNICAL_KERNEL
LPHIC;Account_Management
LPHIF;Account_Management
LPI1M;Account_Management
LPI1M;Account_Management
LPI2M;Account_Management
LPI2M;Account_Management
LPI2M;Account_Management
LPI3M;Account_Management
LPI3M;Account_Management
LPIFM;Account_Management
LPIIM;Account_Management
LPILM;Account_Management
LPILM;Account_Management
LPSIC;Account_Management
LPSIC;Account_Management
LPSIC;Account_Management
LPSIF;Account_Management
LPSIF;Account_Management
LPSIF;Account_Management
LPSNS;Account_Management
LPSNS;Account_Management
LPTIF;Account_Management
LPTIF;Account_Management
LPTIF;Account_Management
LPTIF;Account_Management
LPTIF;Account_Management
LUCBNRIS;TECHNICAL_KERNEL
LUCBNRIS;TECHNICAL_KERNEL
LUCLNPSNAD;TECHNICAL_KERNEL
LUCTPRIS;TECHNICAL_KERNEL
LUCTPRIS;TECHNICAL_KERNEL
LULDCUSDUB;Account_Management
LULDCUSDUB;Account_Management
LULDCUSDUB;Account_Management
LULDCUSDUB;Account_Management
LULDCUSDUB;Account_Management
LULDCUSDUB;Account_Management
LULDCUSDUB;TECHNICAL_KERNEL
LULDCUSDUB;TECHNICAL_KERNEL
LULOADBCOR;Account_Management
LULOADBCOR;TECHNICAL_KERNEL
LULOADBCOR;TECHNICAL_KERNEL
MICDA;Account_Management
MUPMNTSIN;Account_Management
MUPMNTSIN;Account_Management
MUPMNTSIN;TECHNICAL_KERNEL
MUPMNTSIN;TECHNICAL_KERNEL
RUCHQCLRSC;Account_Management
RUCHQCLRSC;TECHNICAL_KERNEL
RUCHQVALSC;TECHNICAL_KERNEL
RUCHQVALSC;TECHNICAL_KERNEL
TLDLLRIS2;TECHNICAL_KERNEL
TLDLVORTE2;TECHNICAL_KERNEL
TLDLVORTE2;TECHNICAL_KERNEL
TLDLVORTE3;TECHNICAL_KERNEL
TLDLVORTE3;TECHNICAL_KERNEL
TOBARACCO2;Account_Management
GP-052GETNXTIBATO;Account_Management
GP-128-DCTRO;Account_Management
GR-003REPERRORS;TECHNICAL_KERNEL
AAISC;Finance
AAISC;Finance
ABA2C;Finance
AIBRM;MDM_Management
AJSTC;Finance
ALACCJUS1;TECHNICAL_KERNEL
ALACCJUS1;TECHNICAL_KERNEL
ALACCJUS6;TECHNICAL_KERNEL
ALACCJUS6;TECHNICAL_KERNEL
ALACCJUS8;TECHNICAL_KERNEL
ALACCJUS9;TECHNICAL_KERNEL
ALACCLST;TECHNICAL_KERNEL
ALACCLST;TECHNICAL_KERNEL
ALADLGS;TECHNICAL_KERNEL
ALADLGS;TECHNICAL_KERNEL
ALAFRAUT;TECHNICAL_KERNEL
ALAFRAUT;TECHNICAL_KERNEL
ALARETAUT;TECHNICAL_KERNEL
ALARETAUT;TECHNICAL_KERNEL
ALAUBKEBKT;TECHNICAL_KERNEL
ALAUBKETAB;TECHNICAL_KERNEL
ALAUBKETAB;TECHNICAL_KERNEL
ALAUBKETRC;TECHNICAL_KERNEL
ALAUBKETRT;TECHNICAL_KERNEL
ALAUDINVCE;TECHNICAL_KERNEL
ALAUDINVCE;TECHNICAL_KERNEL
ALBA1AUT;TECHNICAL_KERNEL
ALBA1AUT;TECHNICAL_KERNEL
ALBA1S;TECHNICAL_KERNEL
ALBA1S;TECHNICAL_KERNEL
ALBASS;TECHNICAL_KERNEL
ALBASS;TECHNICAL_KERNEL
ALBDP001;TECHNICAL_KERNEL
ALBDP001;TECHNICAL_KERNEL
ALBILHOF;TECHNICAL_KERNEL
ALBILHOF;TECHNICAL_KERNEL
ALBMBHOF;TECHNICAL_KERNEL
ALBMBHOF;TECHNICAL_KERNEL
ALBOE052;TECHNICAL_KERNEL
ALBOE052;TECHNICAL_KERNEL
ALBSH187;TECHNICAL_KERNEL
ALBSH187;TECHNICAL_KERNEL
ALBSH188;TECHNICAL_KERNEL
ALBSH188;TECHNICAL_KERNEL
ALBSH500;TECHNICAL_KERNEL
ALBSH500;TECHNICAL_KERNEL
ALBSH600;TECHNICAL_KERNEL
ALBSH600;TECHNICAL_KERNEL
ALBSHHOF;TECHNICAL_KERNEL
ALBSHHOF;TECHNICAL_KERNEL
ALBSHXLS;TECHNICAL_KERNEL
ALBSHXLS;TECHNICAL_KERNEL
ALCAUSSTQ;TECHNICAL_KERNEL
ALCAUSSTQ;TECHNICAL_KERNEL
ALCBI001;TECHNICAL_KERNEL
ALCBI001;TECHNICAL_KERNEL
ALCHARGES;TECHNICAL_KERNEL
ALCHARGES;TECHNICAL_KERNEL
ALCPLBAL;TECHNICAL_KERNEL
ALCPLBAL;TECHNICAL_KERNEL
ALCUSBAL;TECHNICAL_KERNEL
ALCUSBAL;TECHNICAL_KERNEL
ALDETAUT;TECHNICAL_KERNEL
ALDETAUT;TECHNICAL_KERNEL
ALDETBSC;TECHNICAL_KERNEL
ALDETBSC;TECHNICAL_KERNEL
ALDETBSH;TECHNICAL_KERNEL
ALDETBSH;TECHNICAL_KERNEL
ALDETPOL;TECHNICAL_KERNEL
ALDETPOL;TECHNICAL_KERNEL
ALDLCBITCS;TECHNICAL_KERNEL
ALDLCBITCS;TECHNICAL_KERNEL
ALDLCBITLC;TECHNICAL_KERNEL
ALDLCBITMV;TECHNICAL_KERNEL
ALDLCBITMV;TECHNICAL_KERNEL
ALDLCBRCTP;TECHNICAL_KERNEL
ALDLCBRPT;TECHNICAL_KERNEL
ALDLL372NY;TECHNICAL_KERNEL
ALDLL372NY;TECHNICAL_KERNEL
ALDLLABA1S;TECHNICAL_KERNEL
ALDLLABA1S;TECHNICAL_KERNEL
ALDLLACCR;TECHNICAL_KERNEL
ALDLLACCR;TECHNICAL_KERNEL
ALDLLAWV;TECHNICAL_KERNEL
ALDLLBALBV;TECHNICAL_KERNEL
ALDLLBALBV;TECHNICAL_KERNEL
ALDLLBOS;TECHNICAL_KERNEL
ALDLLBOS;TECHNICAL_KERNEL
ALDLLCPCA;TECHNICAL_KERNEL
ALDLLCPCA;TECHNICAL_KERNEL
ALDLLCUST;TECHNICAL_KERNEL
ALDLLGRP1;TECHNICAL_KERNEL
ALDLLGRP1;TECHNICAL_KERNEL
ALDLLGXINV;TECHNICAL_KERNEL
ALDLLGXINV;TECHNICAL_KERNEL
ALDLLINT2;TECHNICAL_KERNEL
ALDLLINT2;TECHNICAL_KERNEL
ALDLLOFA;TECHNICAL_KERNEL
ALDLLOFA;TECHNICAL_KERNEL
ALDLLTOTB;TECHNICAL_KERNEL
ALDLLTOTB;TECHNICAL_KERNEL
ALDLLXNPVB;TECHNICAL_KERNEL
ALDRMACC;TECHNICAL_KERNEL
ALDRMACC;TECHNICAL_KERNEL
ALESPBSH;TECHNICAL_KERNEL
ALESPBSH;TECHNICAL_KERNEL
ALEXCRAT01;TECHNICAL_KERNEL
ALEXCRAT01;TECHNICAL_KERNEL
ALHKM001;TECHNICAL_KERNEL
ALHKM001;TECHNICAL_KERNEL
ALHKME01;TECHNICAL_KERNEL
ALHKME01;TECHNICAL_KERNEL
ALHKMF01;TECHNICAL_KERNEL
ALHKMF01;TECHNICAL_KERNEL
ALHKMI01;TECHNICAL_KERNEL
ALHKMI01;TECHNICAL_KERNEL
ALHKMJ01;TECHNICAL_KERNEL
ALHKMJ01;TECHNICAL_KERNEL
ALHKMK01;TECHNICAL_KERNEL
ALHKMK01;TECHNICAL_KERNEL
ALHKML01;TECHNICAL_KERNEL
ALHKML01;TECHNICAL_KERNEL
ALHKMM01;TECHNICAL_KERNEL
ALHKMM01;TECHNICAL_KERNEL
ALHKMS01;TECHNICAL_KERNEL
ALHKMS01;TECHNICAL_KERNEL
ALHKMX01;TECHNICAL_KERNEL
ALHKMX01;TECHNICAL_KERNEL
ALINTBAL;TECHNICAL_KERNEL
ALINTBAL;TECHNICAL_KERNEL
ALLBRAUT;TECHNICAL_KERNEL
ALLBRAUT;TECHNICAL_KERNEL
ALLZB001;TECHNICAL_KERNEL
ALLZB001;TECHNICAL_KERNEL
