Table;C;R;U;D;Program
RPDEF;;R;;;ILCOMPBTS;
PRNTR;;R;;;ILCOMPBTS;
GMSGS;;R;;;ILCOMPBTS;
IGLDO;;R;U;;ILCOMPBTS;
IFXCO;;R;U;;ILCOMPBTS;
ITLDO;;R;;;ILCOMPBTS;
REFFL;;R;;;ILFWDCONAL;
RPSCH;;R;U;;ILFWDCONAL;
RSTRT;C;R;U;;ILFWDCONAL;
PRSNL;;R;;;ILFWDCONAL;
PRNTR;;R;;;ILFWDCONAL;
RPDEF;;R;U;;ILFWDCONAL;
LPHYS;;R;;;ILFWDCONAL;
LRCES;;R;;;ILFWDCONAL;
IFXCO;;R;;;ILFWDCONAL;
LCCYS;;R;;;ILFWDCONAL;
IPTIO;;R;;;ILFWDCONAL;
ABA1S;;R;;;ILFWDCONAL;
LCBNS;;R;;;ILFWDCONAL;
AEXRS;;R;;;ILFWDCONAL;
LBRAS;;R;;;ILFWDCONAL;
AASPS;;R;;;ILFWDCONAL;
IFXCL;;R;;;ILFWDCONAL;
REFFL;;R;;;AUEOYPOSE;
RPSCH;;R;U;;AUEOYPOSE;
RSTRT;C;R;U;;AUEOYPOSE;
PRSNL;;R;;;AUEOYPOSE;
PRNTR;;R;;;AUEOYPOSE;
RPDEF;;R;;;AUEOYPOSE;
LPHYS;;R;;;AUEOYPOSE;
LRCES;;R;;;AUEOYPOSE;
AASPS;;R;U;;AUEOYPOSE;
ATDCS;;R;;;AUEOYPOSE;
ADETS;C;R;;;AUEOYPOSE;
AMDCO;C;;;;AUEOYPOSE;
AROTO;;R;;;AUEOYPOSE;
AFOLO;C;;;;AUEOYPOSE;
SECUR;;R;;;AUEOYPOSE;
ADETL;C;;;;AUEOYPOSE;
LBRAS;;R;;;AUEOYPOSE;
LCCYS;;R;;;AUEOYPOSE;
REFFL;;R;;;ILAUDIT;
LBRAS;;R;;;ILAUDIT;
LBGRS;;R;;;ILAUDIT;
RPSCH;C;R;U;;ILAUDIT;
SECUR;;R;;;ILAUDIT;
AASPS;;R;;;ILAUDIT;
RSTRT;C;R;U;;ILAUDIT;
RPDEF;;R;;;ILAUDIT;
LRCES;;R;;;ILAUDIT;
GMSGS;;R;;;ILAUDIT;
LPHYS;;R;;;ILAUDIT;
LCIYS;;R;;;ILAUDIT;
LCCYS;;R;;;ILAUDIT;
ADETS;;R;;;ILAUDIT;
AHVBO;;R;;;ILAUDIT;
APPNO;;R;;;ILAUDIT;
LCBNS;;R;;;ILAUDIT;
IGLDO;;R;;;ILAUDIT;
ITLDO;;R;;;ILAUDIT;
IFXCO;;R;;;ILAUDIT;
CFACS;;R;;;ILAUDIT;
CFRSO;;R;;;ILAUDIT;
CGUAS;;R;;;ILAUDIT;
CSECS;;R;;;ILAUDIT;
IFRAO;;R;;;ILAUDIT;
IOPTS;;R;;;ILAUDIT;
CCMHO;;R;;;ILAUDIT;
CMTLO;;R;;;ILAUDIT;
ISIMO;;R;;;ILAUDIT;
IGIRO;;R;;;ILAUDIT;
ICNFS;;R;;;ILAUDIT;
PRNTR;;R;;;ILAUDIT;
PRSNL;;R;;;ILAUDIT;
LCTPS;;R;;;ILAUDIT;
LCTSO;;R;;;ILAUDIT;
IBATO;C;R;U;;BUMLYTRD;
RPSCH;C;R;U;;BUMLYTRD;
RSTRT;C;R;U;;BUMLYTRD;
PRNTR;;R;;;BUMLYTRD;
RPDEF;;R;;;BUMLYTRD;
CEXRO;;R;;;BUMLYTRD;
CMRGO;;R;;;BUMLYTRD;
IERBS;;R;;;BUMLYTRD;
ACVRO;;R;;;BUMLYTRD;
LCBNS;;R;;;BUMLYTRD;
LCIYS;;R;;;BUMLYTRD;
LCRYS;;R;;;BUMLYTRD;
LCTPS;;R;;;BUMLYTRD;
ABA1S;;R;;;BUMLYTRD;
AIBRO;;R;;;BUMLYTRD;
ATRDO;C;;;;BUMLYTRD;
GMSGS;;R;;;BUMLYTRD;
REFFL;;R;;;BUMLYTRD;
AASPS;;R;;;BUMLYTRD;
BPOTO;;R;U;;BUMLYTRD;
BDLTO;;R;U;;BUMLYTRD;
BDLGO;;R;U;;BUMLYTRD;
LBRAS;;R;;;BUMLYTRD;
LCCYS;;R;;;BUMLYTRD;
AEXRS;;R;;;BUMLYTRD;
BDLAO;;R;;;BUMLYTRD;
BISSO;;R;;;BUMLYTRD;
BBOKS;;R;;;BUMLYTRD;
BISPO;;R;;;BUMLYTRD;
BICTO;;R;;;BUMLYTRD;
BITTO;C;R;;;BUMLYTRD;
LPRDS;;R;;;BUMLYTRD;
ATRTS;;R;;;BUMLYTRD;
PRSNL;;R;;;BUMLYTRD;
LPHYS;;R;;;BUMLYTRD;
LRCES;;R;;;BUMLYTRD;
SECUR;;R;;;BUMLYTRD;
RPSCH;C;R;U;;ALDLLCBRAT;
SECUR;;R;;;ALDLLCBRAT;
RSTRT;C;R;U;;ALDLLCBRAT;
PRSNL;;R;;;ALDLLCBRAT;
PRNTR;;R;;;ALDLLCBRAT;
RPDEF;;R;;;ALDLLCBRAT;
LPHYS;;R;;;ALDLLCBRAT;
LRCES;;R;;;ALDLLCBRAT;
CEXRO;;R;;;ALDLLCBRAT;
CMRGO;;R;;;ALDLLCBRAT;
AEXRS;;R;;;ALDLLCBRAT;
IERBS;;R;;;ALDLLCBRAT;
AASPS;;R;;;ALDLLCBRAT;
ACVRO;;R;;;ALDLLCBRAT;
