Table;C;R;U;D;Program
LCTSO;;R;;;DULDCLEALG;
DCPOO;;R;;;DULDCLEALG;
DMSTO;;R;;;DULDCLEALG;
ADETS;;R;;;DULDCLEALG;
LPSNS;;R;;;DULDCLEALG;
DSTAO;C;;;;DULDCLEALG;
GMSGS;;R;;;DULDCLEALG;
DPTRO;;R;;;DULDCLEALG;
DPTRL;;R;;;DULDCLEALG;
DIPTO;C;R;U;;DULDCLEALG;
DCNDO;;R;;;DULDCLEALG;
DCBDO;C;R;;;DULDCLEALG;
LCCYS;;R;;;DULDCLEALG;
LPHYS;;R;;;DULDCLEALG;
INOSO;;R;;;DULDCLEALG;
AASPS;;R;;;DULDCLEALG;
LCBNS;;R;;;DULDCLEALG;
ABA1S;;R;;;DULDCLEALG;
LBRAS;;R;;;DULDCLEALG;
LHOLO;;R;;;ILDLYACCFX;
REFFL;;R;;;ILDLYACCFX;
LBGRS;;R;;;ILDLYACCFX;
RPSCH;C;R;U;;ILDLYACCFX;
SECUR;;R;;;ILDLYACCFX;
RSTRT;C;R;U;;ILDLYACCFX;
PRSNL;;R;;;ILDLYACCFX;
PRNTR;;R;;;ILDLYACCFX;
RPDEF;;R;;;ILDLYACCFX;
LPHYS;;R;;;ILDLYACCFX;
LRCES;;R;;;ILDLYACCFX;
CEXRO;;R;;;ILDLYACCFX;
CMRGO;;R;;;ILDLYACCFX;
AEXRS;;R;;;ILDLYACCFX;
IERBS;;R;;;ILDLYACCFX;
AASPS;;R;;;ILDLYACCFX;
ACVRO;;R;;;ILDLYACCFX;
GMSGS;;R;;;ILDLYACCFX;
IFXCO;;R;;;ILDLYACCFX;
IFXAO;;R;;;ILDLYACCFX;
LCCYS;;R;;;ILDLYACCFX;
LBRAS;;R;;;ILDLYACCFX;
REFFL;;R;;;GLCLFSTAT;
RPSCH;C;R;U;;GLCLFSTAT;
SECUR;;R;;;GLCLFSTAT;
AASPS;;R;;;GLCLFSTAT;
RSTRT;C;R;U;;GLCLFSTAT;
PRSNL;;R;;;GLCLFSTAT;
PRNTR;;R;;;GLCLFSTAT;
RPDEF;;R;;;GLCLFSTAT;
LPHYS;;R;;;GLCLFSTAT;
LRCES;;R;;;GLCLFSTAT;
GSWMO;;R;;;GLCLFSTAT;
LCTPS;;R;;;DULDCLEALC;
RPSCH;C;R;U;;DULDCLEALC;
SECUR;;R;;;DULDCLEALC;
RSTRT;C;R;U;;DULDCLEALC;
PRSNL;;R;;;DULDCLEALC;
PRNTR;;R;;;DULDCLEALC;
RPDEF;;R;;;DULDCLEALC;
LRCES;;R;;;DULDCLEALC;
CEXRO;;R;;;DULDCLEALC;
CMRGO;;R;;;DULDCLEALC;
AEXRS;;R;;;DULDCLEALC;
IERBS;;R;;;DULDCLEALC;
AMVTO;;R;;;DULDCLEALC;
DSLVO;;R;;;DULDCLEALC;
ACVRO;;R;;;DULDCLEALC;
DCONO;;R;;;DULDCLEALC;
DCNTO;;R;;;DULDCLEALC;
DCNDO;;R;;;DULDCLEALC;
LHOLO;;R;;;DULDCLEALC;
CFACS;;R;;;DULDCLEALC;
CRTRO;;R;;;DULDCLEALC;
APPNO;;R;;;DULDCLEALC;
LPRDS;;R;;;DULDCLEALC;
LCTSO;;R;;;DULDCLEALC;
DCPOO;;R;;;DULDCLEALC;
DMSTO;;R;;;DULDCLEALC;
LPSNS;;R;;;DULDCLEALC;
GMSGS;;R;;;DULDCLEALC;
RCHDS;C;R;U;;DULDCLEALC;
AASPS;;R;U;;DULDCLEALC;
LCCYS;;R;;;DULDCLEALC;
RCHQS;C;R;;;DULDCLEALC;
LCBNS;;R;;;DULDCLEALC;
ADETS;;R;;;DULDCLEALC;
LBRAS;;R;;;DULDCLEALC;
AROTO;;R;;;DULDCLEALC;
LPHYS;;R;;;DULDCLEALC;
ABA1S;;R;;;DULDCLEALC;
REFFL;;R;;;DULDCLEALC;
LCCCS;;R;;;DULDCLEALC;
LCRYS;;R;;;DULDCLEALC;
ACLOG;;R;U;;MIDDC;
REFFL;C;R;U;;MIDDC;
DCBMO;;R;;;MIDDC;
INOSO;;R;;;MIDDC;
DIPTL;C;R;;;MIDDC;
GPARO;;R;;;MIDDC;
LCTPS;;R;;;MIDDC;
GSEMO;;R;;;MIDDC;
GMONO;C;;;;MIDDC;
CEXRO;;R;;;MIDDC;
CMRGO;;R;;;MIDDC;
AEXRS;;R;;;MIDDC;
IERBS;;R;;;MIDDC;
AMVTO;;R;;;MIDDC;
DSLVO;;R;;;MIDDC;
ACVRO;;R;;;MIDDC;
DCNTO;;R;;;MIDDC;
DCONO;;R;;;MIDDC;
SECUR;;R;;;MIDDC;
RPDEF;;R;;;MIDDC;
PRNTR;;R;;;MIDDC;
RPSCH;C;;;;MIDDC;
LHOLO;;R;;;MIDDC;
CFACS;;R;;;MIDDC;
CRTRO;;R;;;MIDDC;
APPNO;;R;;;MIDDC;
LCTSO;;R;;;MIDDC;
DCPOO;;R;;;MIDDC;
DMSTO;;R;;;MIDDC;
LPSNS;;R;;;MIDDC;
PRSNL;;R;U;;MIDDC;
DSTAO;C;R;;;MIDDC;
GMSGS;;R;;;MIDDC;
DEFIN;;R;;;MIDDC;
DCNDO;;R;;;MIDDC;
DCTRO;C;R;U;D;MIDDC;
DPBDO;;R;U;;MIDDC;
DFRTO;C;R;;D;MIDDC;
DIPTO;C;R;U;;MIDDC;
DPTRL;;R;U;;MIDDC;
DPTRO;;R;U;;MIDDC;
DRDIO;;R;U;;MIDDC;
LBRAS;;R;;;MIDDC;
AASPS;;R;;;MIDDC;
LCCYS;;R;;;MIDDC;
LPRDS;;R;;;MIDDC;
DBATO;;R;;;MIDDC;
ICNFS;;R;;;MIDDC;
LPHYS;;R;;;MIDDC;
LCIYS;;R;;;MIDDC;
LELCS;;R;;;MIDDC;
ABA1S;;R;;;MIDDC;
LCCCS;;R;;;MIDDC;
LCRYS;;R;;;MIDDC;
ADETS;;R;;;MIDDC;
DDDCO;;R;;;MIDDC;
LCBNS;;R;;;MIDDC;
GCNVO;;R;;;MIDDC;
DRDIL;C;;;;MIDDC;
ACLOG;;R;U;;ARETC;
GSEMO;;R;;;ARETC;
GMONO;C;;;;ARETC;
PRSNL;;R;U;;ARETC;
GMSGS;;R;;;ARETC;
DEFIN;;R;;;ARETC;
APPNO;;R;;;ARETC;
LPRDS;;R;;;ARETC;
ADETL;C;R;U;;ARETC;
ADETS;;R;U;;ARETC;
ARETO;;R;U;;ARETC;
LCBNS;;R;;;ARETC;
LPHYS;;R;;;ARETC;
LCCYS;;R;;;ARETC;
ICNFS;;R;;;ARETC;
ARESS;;R;;;ARETC;
ATAXO;C;R;;;ARETC;
REFFL;;R;;;ARETC;
AINTS;C;R;;;ARETC;
ATAHS;;R;;;ARETC;
SECUR;;R;;;ARETC;
AASPS;;R;;;ARETC;
AINTL;C;;;;ARETC;
ATAXL;C;;;;ARETC;
REFFL;;R;;;IUIPUBART;
GMSGS;;R;;;IUIPUBART;
AASPS;;R;U;;IUIPUBART;
IBBDO;C;R;U;;IUIPUBART;
RPSCH;C;R;U;;IUIPUBART;
RSTRT;C;R;U;;IUIPUBART;
SECUR;;R;;;IUIPUBART;
PRSNL;;R;;;IUIPUBART;
RPDEF;;R;;;IUIPUBART;
PRNTR;;R;;;IUIPUBART;
ICBRO;;R;;;IUIPUBART;
LCCYS;;R;;;IUIPUBART;
LELCS;;R;;;IUIPUBART;
LPSNS;;R;;;IUIPUBART;
ICVBS;C;R;;;IUIPUBART;
LCBNS;;R;;;IUIPUBART;
IODUS;;R;;;IUIPUBART;
ICNFO;C;;;;IUIPUBART;
IPIBO;C;;;;IUIPUBART;
LPHYS;;R;;;IUIPUBART;
LRCES;;R;;;IUIPUBART;
REFFL;;R;;;XLTOTSUP;
RPSCH;C;R;U;;XLTOTSUP;
SECUR;;R;;;XLTOTSUP;
RSTRT;C;R;U;;XLTOTSUP;
PRSNL;;R;;;XLTOTSUP;
PRNTR;;R;;;XLTOTSUP;
RPDEF;;R;;;XLTOTSUP;
LRCES;;R;;;XLTOTSUP;
AASPS;;R;;;XLTOTSUP;
ACVRO;;R;;;XLTOTSUP;
GMSGS;;R;;;XLTOTSUP;
LSUPS;;R;;;XLTOTSUP;
LPHYS;;R;;;XLTOTSUP;
LCCYS;;R;;;XLTOTSUP;
XGDCS;;R;;;XLTOTSUP;
LBRAS;;R;;;XLTOTSUP;
LCCYS;;R;;;CP-001-NXT-PMTINT;
LHOLO;;R;;;CP-001-NXT-PMTINT;
ACLOG;;R;U;;ARESS;
REFFL;;R;;;ARESS;
GSEMO;;R;;;ARESS;
ICNFS;;R;;;ARESS;
GMONO;C;;;;ARESS;
SECUR;;R;;;ARESS;
PRSNL;;R;U;;ARESS;
GMSGS;;R;;;ARESS;
AASPS;;R;;;ARESS;
DEFIN;;R;;;ARESS;
LPRDS;;R;;;ARESS;
LBRAS;;R;;;ARESS;
LCBNS;;R;;;ARESS;
LPHYS;;R;;;ARESS;
LCCYS;;R;;;ARESS;
ANTUS;;R;;;ARESS;
ADETS;;R;;;ARESS;
ARESS;;R;;;ARESS;
APPNO;;R;;;ARESS;
LRESS;;R;;;ARESS;
ARESL;C;;;;ARESS;
REFFL;;R;;;ILDLYACCFR;
LBGRS;;R;;;ILDLYACCFR;
RPSCH;C;R;U;;ILDLYACCFR;
SECUR;;R;;;ILDLYACCFR;
RSTRT;C;R;U;;ILDLYACCFR;
PRSNL;;R;;;ILDLYACCFR;
PRNTR;;R;;;ILDLYACCFR;
RPDEF;;R;;;ILDLYACCFR;
LPHYS;;R;;;ILDLYACCFR;
LRCES;;R;;;ILDLYACCFR;
CEXRO;;R;;;ILDLYACCFR;
CMRGO;;R;;;ILDLYACCFR;
IERBS;;R;;;ILDLYACCFR;
AASPS;;R;;;ILDLYACCFR;
ACVRO;;R;;;ILDLYACCFR;
GMSGS;;R;;;ILDLYACCFR;
LCCYS;;R;;;ILDLYACCFR;
LBRAS;;R;;;ILDLYACCFR;
AEXRS;;R;;;ILDLYACCFR;
LPRDS;;R;;;ILDLYACCFR;
IFRAO;;R;;;ILDLYACCFR;
APPNO;;R;;;ILDLYACCFR;
REFFL;;R;;;IRCPC;
ACLOG;;R;U;;IRCPC;
GSEMO;;R;;;IRCPC;
ICNFS;;R;;;IRCPC;
GMONO;C;;;;IRCPC;
SECUR;;R;;;IRCPC;
PRSNL;;R;U;;IRCPC;
GMSGS;;R;;;IRCPC;
AASPS;;R;U;;IRCPC;
DEFIN;;R;;;IRCPC;
CFACS;;R;;;CLMTPORTFL;
CEXRO;;R;;;CLMTPORTFL;
REFFL;;R;;;CLMTPORTFL;
RPSCH;C;R;U;;CLMTPORTFL;
SECUR;;R;;;CLMTPORTFL;
RSTRT;C;R;U;;CLMTPORTFL;
PRSNL;;R;;;CLMTPORTFL;
PRNTR;;R;;;CLMTPORTFL;
RPDEF;;R;;;CLMTPORTFL;
LRCES;;R;;;CLMTPORTFL;
AASPS;;R;;;CLMTPORTFL;
CMTBO;;R;;;CLMTPORTFL;
LPRDS;;R;;;CLMTPORTFL;
CGUAS;;R;;;CLMTPORTFL;
IGLDO;;R;;;CLMTPORTFL;
ITLDO;;R;;;CLMTPORTFL;
CBFMO;;R;;;CLMTPORTFL;
ISIMO;;R;;;CLMTPORTFL;
CSIMS;;R;;;CLMTPORTFL;
ADETS;;R;;;CLMTPORTFL;
LCBNS;;R;;;CLMTPORTFL;
LCTPS;;R;;;CLMTPORTFL;
CMTCO;;R;;;CLMTPORTFL;
LPHYS;;R;;;CLMTPORTFL;
CMTCS;;R;;;CLMTPORTFL;
LCCYS;;R;;;CLMTPORTFL;
DCNDO;;R;;;GP-071CONDPER;
LCRYS;;R;;;GP-110-ACCLU;
LCTPS;;R;;;GP-110-ACCLU;
CEXRO;;R;;;GP-110-ACCLU;
CMRGO;;R;;;GP-110-ACCLU;
AEXRS;;R;;;GP-110-ACCLU;
IERBS;;R;;;GP-110-ACCLU;
ACVRO;;R;;;GP-110-ACCLU;
AASPS;;R;;;GP-110-ACCLU;
REFFL;;R;;;GP-110-ACCLU;
LBRAS;;R;;;GP-110-ACCLU;
LCCYS;;R;;;GP-110-ACCLU;
LCBNS;;R;;;GP-110-ACCLU;
ABA1S;;R;;;GP-110-ACCLU;
LCIYS;;R;;;GP-110-ACCLU;
ADETS;;R;;;GP-110-ACCLU;
DSLVO;;R;;;GP-110-ACCLU;
GCNVO;;R;;;GP-110-ACCLU;
LHOLO;;R;;;ILDLYACCF3;
REFFL;;R;;;ILDLYACCF3;
LBGRS;;R;;;ILDLYACCF3;
RPSCH;C;R;U;;ILDLYACCF3;
SECUR;;R;;;ILDLYACCF3;
RSTRT;C;R;U;;ILDLYACCF3;
RPDEF;;R;;;ILDLYACCF3;
CEXRO;;R;;;ILDLYACCF3;
CMRGO;;R;;;ILDLYACCF3;
IERBS;;R;;;ILDLYACCF3;
AASPS;;R;;;ILDLYACCF3;
ACVRO;;R;;;ILDLYACCF3;
LCBNS;;R;;;ILDLYACCF3;
LCIYS;;R;;;ILDLYACCF3;
LCRYS;;R;;;ILDLYACCF3;
LCTPS;;R;;;ILDLYACCF3;
ABA1S;;R;;;ILDLYACCF3;
GMSGS;;R;;;ILDLYACCF3;
PRNTR;;R;;;ILDLYACCF3;
LCCYS;;R;;;ILDLYACCF3;
APPNO;;R;;;ILDLYACCF3;
LELCS;;R;;;ILDLYACCF3;
IFXCO;;R;;;ILDLYACCF3;
LBRAS;;R;;;ILDLYACCF3;
AEXRS;;R;;;ILDLYACCF3;
PRSNL;;R;;;ILDLYACCF3;
LPHYS;;R;;;ILDLYACCF3;
LRCES;;R;;;ILDLYACCF3;
LPRDS;;R;;;ILDLYACCF3;
REFFL;;R;;;II-FILL-DCLT5;
LCCYS;;R;;;II-FILL-DCLT5;
DCLTO;;R;;;II-FILL-DCLT5;
INVMO;C;R;U;;IUINVLD;
LBRAS;;R;;;IUINVLD;
LCTSO;;R;;;IUINVLD;
LCBNS;;R;U;;IUINVLD;
LCTPS;;R;;;IUINVLD;
LCIYS;;R;;;IUINVLD;
LCRYS;;R;;;IUINVLD;
RSTRT;C;R;U;;IUINVLD;
LPHYS;;R;;;IUINVLD;
LRCES;;R;;;IUINVLD;
CEXRO;;R;;;IUINVLD;
CMRGO;;R;;;IUINVLD;
AEXRS;;R;;;IUINVLD;
IERBS;;R;;;IUINVLD;
ACVRO;;R;;;IUINVLD;
IPTIO;C;R;U;;IUINVLD;
APPNO;;R;;;IUINVLD;
ANTUS;;R;;;IUINVLD;
SECUR;;R;;;IUINVLD;
PRSNL;;R;;;IUINVLD;
RPDEF;;R;;;IUINVLD;
PRNTR;;R;;;IUINVLD;
RPSCH;C;R;U;;IUINVLD;
LHOLO;;R;;;IUINVLD;
GMSGS;;R;;;IUINVLD;
CRTRO;C;R;U;;IUINVLD;
AASPS;;R;;;IUINVLD;
CFACS;;R;;;IUINVLD;
IBBDO;;R;U;;IUINVLD;
IGLDO;C;R;U;;IUINVLD;
IILDO;;R;U;;IUINVLD;
ILDPO;C;R;U;D;IUINVLD;
ITECO;;R;U;;IUINVLD;
ITLDO;C;R;U;D;IUINVLD;
IPMTO;;R;;;IUINVLD;
REFFL;;R;;;IUINVLD;
IIPIO;;R;;;IUINVLD;
LPRDS;;R;;;IUINVLD;
ILDTL;C;;;;IUINVLD;
LCCYS;;R;;;IUINVLD;
REFFL;;R;;;DLLCHQPYGB;
RPSCH;C;R;U;;DLLCHQPYGB;
SECUR;;R;;;DLLCHQPYGB;
RSTRT;C;R;U;;DLLCHQPYGB;
PRSNL;;R;;;DLLCHQPYGB;
PRNTR;;R;;;DLLCHQPYGB;
RPDEF;;R;;;DLLCHQPYGB;
LPHYS;;R;;;DLLCHQPYGB;
LRCES;;R;;;DLLCHQPYGB;
CEXRO;;R;;;DLLCHQPYGB;
CMRGO;;R;;;DLLCHQPYGB;
AEXRS;;R;;;DLLCHQPYGB;
IERBS;;R;;;DLLCHQPYGB;
ACVRO;;R;;;DLLCHQPYGB;
GMSGS;;R;;;DLLCHQPYGB;
LCCYS;;R;;;DLLCHQPYGB;
RCHQS;;R;;;DLLCHQPYGB;
LCBNS;;R;;;DLLCHQPYGB;
LBRAS;;R;;;DLLCHQPYGB;
AASPS;;R;;;DLLCHQPYGB;
RCHDS;;R;;;DLLCHQPYGB;
ACLOG;;R;U;;ASPI5;
GSEMO;;R;;;ASPI5;
ICNFS;;R;;;ASPI5;
GMONO;C;;;;ASPI5;
SECUR;;R;;;ASPI5;
PRSNL;;R;U;;ASPI5;
GMSGS;;R;;;ASPI5;
AASPS;;R;;;ASPI5;
DEFIN;;R;;;ASPI5;
REFFL;;R;;;ASPI5;
ASPIO;;R;;;ASPI5;
ACLOG;;R;U;;GP173;
GSEMO;;R;;;GP173;
ICNFS;;R;;;GP173;
GMONO;C;;;;GP173;
SECUR;;R;;;GP173;
PRSNL;;R;U;;GP173;
GMSGS;;R;;;GP173;
REFFL;;R;;;GP173;
AASPS;;R;;;GP173;
DEFIN;;R;;;GP173;
REFFL;;R;;;LBSK6;
ACLOG;;R;U;;LBSK6;
GSEMO;;R;;;LBSK6;
ICNFS;;R;;;LBSK6;
GMONO;C;;;;LBSK6;
PRSNL;;R;U;;LBSK6;
SECUR;;R;;;LBSK6;
GMSGS;;R;;;LBSK6;
AASPS;;R;;;LBSK6;
DEFIN;;R;;;LBSK6;
LCCYS;;R;;;LBSK6;
LBSKS;;R;;;LBSK6;
XGDCS;;R;;;XHVB4;
XGPAO;;R;;;XHVB4;
ACLOG;;R;U;;XHVB4;
REFFL;;R;;;XHVB4;
GSEMO;;R;;;XHVB4;
ICNFS;;R;;;XHVB4;
GMONO;C;;;;XHVB4;
PRSNL;;R;U;;XHVB4;
SECUR;;R;;;XHVB4;
GMSGS;;R;;;XHVB4;
AASPS;;R;;;XHVB4;
DEFIN;;R;;;XHVB4;
LSUPS;;R;;;XHVB4;
LPHYS;;R;;;XHVB4;
LCCYS;;R;;;XHVB4;
XHVBO;;R;;;XHVB4;
GPRTO;;R;;;GI-105-IFSPRINT-2;
REFFL;;R;;;ALBSHXLS;
RPSCH;C;R;U;;ALBSHXLS;
SECUR;;R;;;ALBSHXLS;
RSTRT;C;R;U;;ALBSHXLS;
PRSNL;;R;;;ALBSHXLS;
PRNTR;;R;;;ALBSHXLS;
RPDEF;;R;;;ALBSHXLS;
LPHYS;;R;;;ALBSHXLS;
LRCES;;R;;;ALBSHXLS;
CEXRO;;R;;;ALBSHXLS;
CMRGO;;R;;;ALBSHXLS;
AEXRS;;R;;;ALBSHXLS;
IERBS;;R;;;ALBSHXLS;
ACVRO;;R;;;ALBSHXLS;
GMSGS;;R;;;ALBSHXLS;
LCCYS;;R;;;ALBSHXLS;
LCRYS;;R;;;ALBSHXLS;
ABA1S;;R;;;ALBSHXLS;
LCBNS;;R;;;ALBSHXLS;
ADETS;;R;;;ALBSHXLS;
LBRAS;;R;;;ALBSHXLS;
AMVTO;;R;;;ALBSHXLS;
ANEUO;;R;;;ALBSHXLS;
ADLGS;;R;;;ALBSHXLS;
ALGRS;;R;;;ALBSHXLS;
AASPS;;R;;;ALBSHXLS;
LBGRS;;R;;;ALBSHXLS;
ARBRO;;R;;;ALBSHXLS;
GPRTO;;R;;;GI-105-IFSPRINT-3;
REFFL;;R;;;II-FILL-DCLH5;
LCCYS;;R;;;II-FILL-DCLH5;
DCLHO;;R;;;II-FILL-DCLH5;
REFFL;;R;;;LBSK5;
ACLOG;;R;U;;LBSK5;
GSEMO;;R;;;LBSK5;
ICNFS;;R;;;LBSK5;
GMONO;C;;;;LBSK5;
PRSNL;;R;U;;LBSK5;
SECUR;;R;;;LBSK5;
GMSGS;;R;;;LBSK5;
AASPS;;R;;;LBSK5;
DEFIN;;R;;;LBSK5;
LBSKS;;R;;;LBSK5;
LCCYS;;R;;;LBSK5;
ACLOG;;R;U;;CROCM;
REFFL;;R;;;CROCM;
GSEMO;;R;;;CROCM;
ICNFS;;R;;;CROCM;
GMONO;C;;;;CROCM;
PRSNL;;R;U;;CROCM;
SECUR;;R;;;CROCM;
GMSGS;;R;;;CROCM;
DEFIN;;R;;;CROCM;
CFACS;;R;U;;CROCM;
CROCO;C;R;U;;CROCM;
LCBNS;;R;;;CROCM;
LPHYS;;R;;;CROCM;
LCCYS;;R;;;CROCM;
LCTPS;;R;;;CROCM;
AASPS;;R;;;CROCM;
CROCL;C;;;;CROCM;
GPRTO;;R;;;GI-105-IFSPRINT-1;
REFFL;;R;;;ASPIF;
ACLOG;;R;U;;ASPIF;
GSEMO;;R;;;ASPIF;
ICNFS;;R;;;ASPIF;
GMONO;C;;;;ASPIF;
SECUR;;R;;;ASPIF;
PRSNL;;R;U;;ASPIF;
GMSGS;;R;;;ASPIF;
DEFIN;;R;;;ASPIF;
ASPAS;C;R;U;;ASPIF;
ASPIO;;R;U;;ASPIF;
LCBNS;;R;;;ASPIF;
LPHYS;;R;;;ASPIF;
LELCS;;R;;;ASPIF;
ADETS;;R;;;ASPIF;
AASPS;;R;;;ASPIF;
ASPAL;C;;;;ASPIF;
ACLOG;;R;U;;CFOIA;
REFFL;;R;;;CFOIA;
GSEMO;;R;;;CFOIA;
ICNFS;;R;;;CFOIA;
GMONO;C;;;;CFOIA;
CEXRO;;R;;;CFOIA;
CMRGO;;R;;;CFOIA;
AEXRS;;R;;;CFOIA;
IERBS;;R;;;CFOIA;
ACVRO;;R;;;CFOIA;
SECUR;;R;;;CFOIA;
LCCCS;;R;;;CFOIA;
INOSO;;R;;;CFOIA;
LPSNS;;R;;;CFOIA;
PRSNL;;R;U;;CFOIA;
GMSGS;;R;;;CFOIA;
DEFIN;;R;;;CFOIA;
ADETS;;R;;;CFOIA;
AIBRO;;R;;;CFOIA;
ABA1S;;R;;;CFOIA;
LCBNS;;R;;;CFOIA;
LPHYS;;R;;;CFOIA;
IPMTO;;R;;;CFOIA;
LCRYS;;R;;;CFOIA;
CMTIO;C;R;U;;CFOIA;
CMHIO;;R;;;CFOIA;
LCCYS;;R;;;CFOIA;
CCMHO;;R;;;CFOIA;
CMTLO;;R;;;CFOIA;
LBRAS;;R;;;CFOIA;
LRESS;;R;;;CFOIA;
AASPS;;R;;;CFOIA;
LELCS;;R;;;CFOIA;
IIPIO;C;;;;CFOIA;
ACLOG;;R;U;;CFOIC;
REFFL;;R;;;CFOIC;
GSEMO;;R;;;CFOIC;
ICNFS;;R;;;CFOIC;
GMONO;C;;;;CFOIC;
CEXRO;;R;;;CFOIC;
CMRGO;;R;;;CFOIC;
AEXRS;;R;;;CFOIC;
IERBS;;R;;;CFOIC;
ACVRO;;R;;;CFOIC;
SECUR;;R;;;CFOIC;
LCCCS;;R;;;CFOIC;
INOSO;;R;;;CFOIC;
LPSNS;;R;;;CFOIC;
PRSNL;;R;U;;CFOIC;
GMSGS;;R;;;CFOIC;
DEFIN;;R;;;CFOIC;
ADETS;;R;;;CFOIC;
AIBRO;;R;;;CFOIC;
ABA1S;;R;;;CFOIC;
LCBNS;;R;;;CFOIC;
LPHYS;;R;;;CFOIC;
IPMTO;;R;;;CFOIC;
LCRYS;;R;;;CFOIC;
IIPIO;C;R;U;;CFOIC;
CMTIO;C;R;U;;CFOIC;
CMHIO;;R;;;CFOIC;
LCCYS;;R;;;CFOIC;
CCMHO;;R;;;CFOIC;
CMTLO;;R;;;CFOIC;
CPTIO;;R;;;CFOIC;
LBRAS;;R;;;CFOIC;
LRESS;;R;;;CFOIC;
AASPS;;R;;;CFOIC;
LELCS;;R;;;CFOIC;
REFFL;;R;;;LBSKM;
ACLOG;;R;U;;LBSKM;
GSEMO;;R;;;LBSKM;
ICNFS;;R;;;LBSKM;
GMONO;C;;;;LBSKM;
PRSNL;;R;U;;LBSKM;
SECUR;;R;;;LBSKM;
GMSGS;;R;;;LBSKM;
DEFIN;;R;;;LBSKM;
LBSKS;C;R;U;;LBSKM;
LCCYS;;R;U;;LBSKM;
LBSKL;C;;;;LBSKM;
AASPS;;R;;;LBSKM;
REFFL;;R;;;CLFACFDD;
RPSCH;C;R;U;;CLFACFDD;
SECUR;;R;;;CLFACFDD;
AASPS;;R;;;CLFACFDD;
RSTRT;C;R;U;;CLFACFDD;
PRSNL;;R;;;CLFACFDD;
PRNTR;;R;;;CLFACFDD;
RPDEF;;R;;;CLFACFDD;
LRCES;;R;;;CLFACFDD;
GMSGS;;R;;;CLFACFDD;
CCDIS;;R;;;CLFACFDD;
LPHYS;;R;;;CLFACFDD;
CFACS;;R;;;CLFACFDD;
LCBNS;;R;;;CLFACFDD;
LCCYS;;R;;;CLFACFDD;
CFFEO;;R;;;CLFACFDD;
CFCRO;;R;;;CLFACFDD;
CFDDO;;R;;;CLFACFDD;
RPSCH;C;R;U;;GLSCRSEC;
AASPS;;R;;;GLSCRSEC;
RSTRT;C;R;U;;GLSCRSEC;
PRSNL;;R;;;GLSCRSEC;
PRNTR;;R;;;GLSCRSEC;
RPDEF;;R;;;GLSCRSEC;
LPHYS;;R;;;GLSCRSEC;
LRCES;;R;;;GLSCRSEC;
REFFL;;R;;;GLSCRSEC;
GPARO;;R;;;GLSCRSEC;
DEFIN;;R;;;GLSCRSEC;
SECUR;;R;;;GLSCRSEC;
REFFL;;R;;;ALAIBRTAB;
RPSCH;;R;U;;ALAIBRTAB;
AASPS;;R;;;ALAIBRTAB;
RSTRT;C;R;U;;ALAIBRTAB;
PRSNL;;R;;;ALAIBRTAB;
PRNTR;;R;;;ALAIBRTAB;
RPDEF;;R;;;ALAIBRTAB;
LRCES;;R;;;ALAIBRTAB;
LCBNS;;R;;;ALAIBRTAB;
AIBRO;;R;;;ALAIBRTAB;
LPHYS;;R;;;ALAIBRTAB;
REFFL;;R;;;II-FILL-DIPT5;
LCCYS;;R;;;II-FILL-DIPT5;
DIPTO;;R;;;II-FILL-DIPT5;
REFFL;;R;;;ABAS1;
ACLOG;;R;U;;ABAS1;
GSEMO;;R;;;ABAS1;
ICNFS;;R;;;ABAS1;
GMONO;C;;;;ABAS1;
SECUR;;R;;;ABAS1;
PRSNL;;R;U;;ABAS1;
GMSGS;;R;;;ABAS1;
AASPS;;R;;;ABAS1;
DEFIN;;R;;;ABAS1;
ALGRS;;R;;;ABAS1;
ABASS;;R;;;ABAS1;
ARBRO;;R;;;ABAS1;
REFFL;;R;;;BDLE5;
ACLOG;;R;U;;BDLE5;
GSEMO;;R;;;BDLE5;
ICNFS;;R;;;BDLE5;
GMONO;C;;;;BDLE5;
PRSNL;;R;U;;BDLE5;
SECUR;;R;;;BDLE5;
GMSGS;;R;;;BDLE5;
AASPS;;R;;;BDLE5;
DEFIN;;R;;;BDLE5;
BDLAO;;R;;;BDLE5;
BDLPO;;R;;;BDLE5;
BDLGO;;R;;;BDLE5;
ACLOG;;R;U;;XHVBM;
REFFL;;R;;;XHVBM;
GSEMO;;R;;;XHVBM;
ICNFS;;R;;;XHVBM;
GMONO;C;;;;XHVBM;
PRSNL;;R;U;;XHVBM;
SECUR;;R;;;XHVBM;
GMSGS;;R;;;XHVBM;
AASPS;;R;;;XHVBM;
DEFIN;;R;;;XHVBM;
XHVBO;C;R;U;D;XHVBM;
LCCYS;;R;;;XHVBM;
LSUPS;;R;;;XHVBM;
GMSGS;;R;;;GP-100-F87A;
RPSCH;C;R;U;;IUSWFACK;
SECUR;;R;;;IUSWFACK;
RSTRT;C;R;U;;IUSWFACK;
PRSNL;;R;;;IUSWFACK;
PRNTR;;R;;;IUSWFACK;
RPDEF;;R;U;;IUSWFACK;
LPHYS;;R;;;IUSWFACK;
LRCES;;R;;;IUSWFACK;
LCCYS;;R;;;IUSWFACK;
LHOLO;;R;;;IUSWFACK;
GMSGS;;R;;;IUSWFACK;
DIPTO;;R;;;IUSWFACK;
