Table_Name;IFS_4T_Module
DSTAO;Payment_And_Cash_Management
DSTIO;Payment_And_Cash_Management
DSTOL;Payment_And_Cash_Management
DSTOO;Payment_And_Cash_Management
DSTSO;Payment_And_Cash_Management
GBTDS;Core_Banking
GBTPS;Core_Banking
GBTRO;Core_Banking
GCNVO;Core_Banking
GMONO;Core_Banking
GMSGS;Core_Banking
GPAIO;Core_Banking
GPARL;Core_Banking
GPARO;Core_Banking
GPRTO;Core_Banking
GRTPO;Core_Banking
GSADO;Core_Banking
GSAMO;Core_Banking
GSBRO;Core_Banking
GSBSO;Core_Banking
GSEML;Core_Banking
GSEMO;Core_Banking
GSWMO;Payment_And_Cash_Management
GXMLO;Core_Banking
IACCO;Payment_And_Cash_Management
IAUTL;Payment_And_Cash_Management
IAUTO;Payment_And_Cash_Management
IBATO;Core_Banking
IBBDO;Core_Banking
IBDDO;Financial_Markets
IBDHO;Financial_Markets
ICBRO;Financial_Markets
ICNDL;Payment_And_Cash_Management
ICNDO;Payment_And_Cash_Management
ICNFL;Core_Banking
ICNFO;Payment_And_Cash_Management
ICNFS;Core_Banking
ICOPL;Payment_And_Cash_Management
ICOPO;Payment_And_Cash_Management
ICVBS;Financial_Markets
IDPLO;Lending
IERBS;Core_Banking
IERMO;Financial_Markets
IFASO;Financial_Markets
IFCPO;Financial_Markets
IFCSL;Financial_Markets
IFCSO;Financial_Markets
IFFAO;Financial_Markets
IFFCL;Financial_Markets
IFFCO;Financial_Markets
IFFDL;Financial_Markets
IFFDO;Financial_Markets
IFFOO;Financial_Markets
IFFPO;Financial_Markets
IFFTO;Financial_Markets
IFFVO;Financial_Markets
IFPSO;Financial_Markets
IFRAL;Financial_Markets
IFRAO;Financial_Markets
IFRCL;Financial_Markets
IFRCO;Financial_Markets
IFRPL;Financial_Markets
IFRPO;Financial_Markets
IFTCO;Financial_Markets
IFTSO;Financial_Markets
IFUPS;Payment_And_Cash_Management
IFXAO;Financial_Markets
IFXCL;Financial_Markets
IFXCO;Financial_Markets
IFXPL;Financial_Markets
IFXPO;Financial_Markets
IGIRO;Financial_Markets
IGLDO;Financial_Markets
IHMCL;Financial_Markets
IHMCS;Financial_Markets
IICSO;Financial_Markets
IIFFO;Financial_Markets
IIFRO;Financial_Markets
IIFXO;Financial_Markets
IILDO;Financial_Markets
IINIO;Core_Banking
IINTL;Core_Banking
IINTO;Core_Banking
IIOPO;Financial_Markets
IIPIO;Financial_Markets
IIRSO;Financial_Markets
ILDAO;Financial_Markets
ILDCL;Financial_Markets
ILDCO;Financial_Markets
ILDPL;Financial_Markets
ILDPO;Financial_Markets
ILDTL;Financial_Markets
ILNGL;Financial_Markets
ILNGS;Financial_Markets
ILPAL;Financial_Markets
ILPAO;Financial_Markets
IMAGO;Financial_Markets
INETL;Financial_Markets
INETO;Financial_Markets
INOSL;Financial_Markets
INOSO;Core_Banking
INVMO;Core_Banking
IOASO;Financial_Markets
IODUL;Financial_Markets
IODUS;Financial_Markets
IOPCL;Financial_Markets
IOPCO;Financial_Markets
IOPPL;Financial_Markets
IOPPO;Financial_Markets
IOPTL;Financial_Markets
IOPTS;Financial_Markets
IPIBO;Financial_Markets
IPIIO;Financial_Markets
IPMTL;Financial_Markets
IPMTO;Financial_Markets
IPTIL;Financial_Markets
IPTIO;Financial_Markets
IPWDL;Core_Banking
IPWDO;Core_Banking
IRCVO;Financial_Markets
IRFRL;Financial_Markets
IRFRO;Financial_Markets
IRSAO;Financial_Markets
IRSCL;Financial_Markets
IRSCO;Financial_Markets
IRSPL;Financial_Markets
IRSPO;Financial_Markets
IRSWL;Financial_Markets
ISAVO;Core_Banking
ISIFO;Financial_Markets
ISIML;Lending
ISIMO;Lending
ISPIL;Financial_Markets
ISPIO;Financial_Markets
ISTLO;Payment_And_Cash_Management
ISTMO;Payment_And_Cash_Management
ISWCO;Financial_Markets
ITCFO;Payment_And_Cash_Management
ITECO;Financial_Markets
ITIRO;Financial_Markets
ITITL;Lending
ITITO;Lending
ITLDO;Financial_Markets
ITOLL;Payment_And_Cash_Management
ITOLO;Payment_And_Cash_Management
ITXTO;Core_Banking
IWARL;Core_Banking
IWARO;Core_Banking
IWODL;Core_Banking
IWODO;Core_Banking
IWSSO;Financial_Markets
LBGRL;Core_Banking
LBGRS;Core_Banking
LBIRO;Payment_And_Cash_Management
LBRAL;Core_Banking
LBRAS;Core_Banking
LBRCL;Financial_Markets
LBRCS;Financial_Markets
LBROL;Core_Banking
LBROS;Core_Banking
LBSKL;Core_Banking
LBSKS;Core_Banking
LCBNL;Core_Banking
LCBNS;Core_Banking
LCCCL;Core_Banking
LCCCS;Core_Banking
LCCYL;Core_Banking
LCCYS;Core_Banking
LCGRL;Core_Banking
LCGRS;Core_Banking
LCIYL;Core_Banking
LCIYS;Core_Banking
LCLIL;Core_Banking
LCLIS;Core_Banking
LCORO;Core_Banking
LCPSL;Core_Banking
LCPSS;Core_Banking
LCRYL;Core_Banking
LCRYS;Core_Banking
LCSTL;Core_Banking
LCSTS;Core_Banking
LCTIO;Core_Banking
LCTPL;Core_Banking
LCTPS;Core_Banking
LCTSL;Core_Banking
LCTSO;Core_Banking
LEBAO;Lending
LELCL;Core_Banking
LELCS;Core_Banking
LELIO;Core_Banking
LGRDL;Core_Banking
LGRDO;Core_Banking
LGXFL;Core_Banking
LGXFO;Core_Banking
LHOLL;Core_Banking
LHOLO;Core_Banking
LPHIO;Core_Banking
LPHYL;Core_Banking
LPHYS;Core_Banking
LPMML;Core_Banking
LPRCL;Core_Banking
LPRCO;Core_Banking
LPRDL;Core_Banking
LPRDS;Core_Banking
LPRFS;Core_Banking
LPSIO;Core_Banking
LPSNL;Core_Banking
LPSNS;Core_Banking
LRCEL;Core_Banking
